区分１,区分２,該当数計,ｉｏｓ（ｉｐｈｏｎｅ）割合（％）,Ａｎｄｒｏiｄ割合（％）,その他割合（％）
全体,全体,990,53.6,45.7,0.7
児童・生徒別,小学生,134,41.0,57.5,1.5
児童・生徒別,中学生,378,47.6,51.1,1.3
児童・生徒別,高校生,478,61.9,38.1,0.0
性別,男子,495,54.1,45.9,0.0
性別,女子,495,53.1,45.5,1.4
