区分１,区分２,該当数計,割合計,未就学時該当数,未就学時割合,小学１年生～２年生該当数,小学１年生～２年生割合,小学３年生～４年生該当数,小学３年生～４年生割合,小学５年生～６年生該当数,小学５年生～６年生割合,中学１年生該当数,中学１年生割合,中学２年生該当数,中学２年生割合,中学３年生該当数,中学３年生割合,高校１年生該当数,高校１年生割合,高校２年生該当数,高校２年生割合,高校３年生該当数,高校３年生割合
全体,全体,990,100.0,2,0.2,14,1.4,78,7.9,152,15.4,263,29.6,103,10.4,126,12.7,203,20.5,13,1.3,6,0.6
児童・生徒別,小学生,134,100.0,1,0.7,6,4.5,57,42.5,70,52.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,中学生,378,100.0,0,0.0,2,0.5,13,3.4,58,15.3,213,56.3,61,16.1,31,8.2,0,0.0,0,0.0,0,0.0
児童・生徒別,高校生,478,100.0,1,0.2,6,1.3,8,1.7,24,5.0,80,16.7,42,8.8,95,19.9,203,42.5,13,2.7,6,1.3
子供の性別,男性,495,100.0,1,0.2,7,1.4,37,7.5,68,13.7,145,29.3,50,10.1,67,13.5,112,22.6,5,1.0,3,0.6
子供の性別,女性,495,100.0,1,0.2,7,1.4,41,8.3,84,17.0,148,29.9,53,10.7,59,11.9,91,18.4,8,1.6,3,0.6
児童・生徒×子供の性別,小学生男子,56,100.0,0,0.0,4,7.1,27,48.2,25,44.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,小学生女子,78,100.0,1,1.3,2,2.6,30,38.5,45,57.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,183,100.0,0,0.0,1,0.5,6,3.3,27,14.8,106,57.9,32,17.5,11,6.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生女子,195,100.0,0,0.0,1,0.5,7,3.6,31,15.9,107,54.9,29,14.9,20,10.3,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,高校生男子,256,100.0,1,0.4,2,0.8,4,1.6,16,6.3,39,15.2,18,7.0,56,21.9,112,43.8,5,2.0,3,1.2
児童・生徒×子供の性別,高校生女子,222,100.0,0,0.0,4,1.8,4,1.8,8,3.6,41,18.5,24,10.8,39,17.6,91,41.0,8,3.6,3,1.4
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,577,100.0,2,0.3,10,1.7,47,8.1,82,14.2,172,29.8,57,9.9,85,14.7,113,19.6,6,1.0,3,0.5
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,96,100.0,0,0.0,1,1.0,6,6.3,18,18.8,32,33.3,6,6.3,14,14.6,15,15.6,1,1.0,3,3.1
携帯電話の購入所別,家電量販店,184,100.0,0,0.0,2,1.1,13,7.1,27,14.7,49,26.6,22,12.0,20,10.9,47,25.5,4,2.2,0,0.0
携帯電話の購入所別,インターネット販売,93,100.0,0,0.0,1,1.1,6,6.5,16,17.2,27,29.0,14,15.1,5,5.4,24,25.8,0,0.0,0,0.0
携帯電話の購入所別,その他,23,100.0,0,0.0,0,0.0,4,17.4,4,17.4,8,34.8,3,13.0,2,8.7,1,4.3,1,4.3,0,0.0
携帯電話の購入所別,わからない,17,100.0,0,0.0,0,0.0,2,11.8,5,29.4,5,29.4,1,5.9,0,0.0,3,17.6,1,5.9,0,0.0
フィルタリングサービスの加入状況別,加入している,364,100.0,0,0.0,6,1.6,33,9.1,51,14.0,134,36.8,40,11.0,35,9.6,59,16.2,6,1.6,0,0.0
フィルタリングサービスの加入状況別,加入していない,428,100.0,2,0.5,7,1.6,27,6.3,66,15.4,106,24.8,43,10.0,64,15.0,106,24.8,4,0.9,3,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,26,100.0,0,0.0,0,0.0,7,26.9,8,30.8,5,19.2,1,3.8,2,7.7,2,7.7,0,0.0,1,3.8
フィルタリングサービスの加入状況別,わからない,172,100.0,0,0.0,1,0.6,11,6.4,27,15.7,48,27.9,19,11.0,25,14.5,36,20.9,3,1.7,2,1.2
利用制限サービスの加入状況別,加入している,261,100.0,0,0.0,4,1.5,22,8.4,42,16.1,104,39.8,27,10.3,21,8.0,38,14.6,2,0.8,1,0.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,1,0.5,1,0.5,21,11.5,36,19.7,58,31.7,17,9.3,17,9.3,26,14.2,6,3.3,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,0,0.0,4,1.3,14,4.4,37,11.6,76,23.9,36,11.3,55,17.3,90,28.3,3,0.9,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,0,0.0,1,1.2,6,7.1,14,16.5,15,17.6,9,10.6,12,14.1,28,32.9,0,0.0,0,0.0
利用状況の管理状態別,利用状況の把握及び監督もできている,286,100.0,2,0.7,6,2.1,32,11.2,58,20.3,86,30.1,24,8.4,34,11.9,43,15.0,1,0.3,0,0.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,504,100.0,0,0.0,6,1.2,33,6.5,74,14.7,155,30.8,56,11.1,58,11.5,108,21.4,11,2.2,3,0.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,141,100.0,0,0.0,1,0.7,8,5.7,11,7.8,38,27.0,19,13.5,23,16.3,38,27.0,0,0.0,3,2.1
利用状況の管理状態別,子供の利用状況に関心がない,53,100.0,0,0.0,1,1.9,5,9.4,9,17.0,13,24.5,3,5.7,11,20.8,10,18.9,1,1.9,0,0.0
利用状況の管理状態別,その他,6,100.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.7,1,16.7,0,0.0,4,66.7,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,351,100.0,1,0.3,3,0.9,22,6.3,53,15.1,104,29.6,37,10.5,50,14.2,72,20.5,7,2.0,2,0.6
説明・学習経験別,インターネットで調べた,336,100.0,2,0.6,7,2.1,24,7.1,54,16.1,93,27.7,45,13.4,30,8.9,76,22.6,3,0.9,2,0.6
説明・学習経験別,学校から配布される資料等を読んだ,357,100.0,0,0.0,4,1.1,26,7.3,59,16.5,107,30.0,41,11.5,49,13.7,62,17.4,6,1.7,3,0.8
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,230,100.0,0,0.0,3,1.3,15,6.5,34,14.8,74,32.2,29,12.6,29,12.6,45,19.6,1,0.4,0,0.0
説明・学習経験別,知識のある知人から説明を受けた,41,100.0,0,0.0,1,2.4,7,17.1,7,17.1,9,22.0,5,12.2,6,14.6,5,12.2,1,2.4,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,65,100.0,0,0.0,1,1.5,6,9.2,8,12.3,26,40.0,3,4.6,10,15.4,10,15.4,1,1.5,0,0.0
説明・学習経験別,公共施設などで開催された講座に参加した,15,100.0,0,0.0,1,6.7,1,6.7,6,40.0,3,20.0,2,13.3,1,6.7,1,6.7,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,214,100.0,0,0.0,4,1.9,16,7.5,34,15.9,61,28.5,23,10.7,27,12.6,47,22.0,2,0.9,0,0.0
説明・学習経験別,その他,9,100.0,0,0.0,0,0.0,1,11.1,2,22.2,2,22.2,0,0.0,2,22.2,2,22.2,0,0.0,0,0.0
