区分１,区分２,該当数計,有害なサイトを閲覧するかもしれない割合（％）
全体,全体,990,38.1
児童・生徒別,小学生,134,46.3
児童・生徒別,中学生,378,42.6
児童・生徒別,高校生,478,32.2
性別,男子,495,40.4
性別,女子,495,35.8
