区分１,区分２,該当数計,割合計,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）該当数,携帯電話（ガラホ、ＰＨＳ、キッズケータイを含む）割合,スマートフォン該当数,スマートフォン割合,両方利用している該当数,両方利用している割合,両方利用していない該当数,両方利用していない割合
総数,,2000,100,478,23.9,929,46.5,22,1.1,571,28.6
児童・生徒別,小学生低学年,473,100,137,29,55,11.6,4,0.8,277,58.6
児童・生徒別,小学生高学年,488,100,229,46.9,87,17.8,4,0.8,168,34.4
児童・生徒別,中学生,486,100,88,18.1,286,58.8,9,1.9,103,21.2
児童・生徒別,高校生,553,100,24,4.3,501,90.6,5,0.9,23,4.2
性別,男子,997,100,221,22.2,447,44.8,8,0.8,321,32.2
性別,女子,1003,100,257,25.6,482,48.1,14,1.4,250,24.9
属性,小学生低学年男子,227,100,53,23.3,30,13.2,0,0,144,63.4
属性,小学生低学年女子,246,100,84,34.1,25,10.2,4,1.6,133,54.1
属性,小学生高学年男子,252,100,109,43.3,36,14.3,2,0.8,105,41.7
属性,小学生高学年女子,236,100,120,50.8,51,21.6,2,0.8,63,26.7
属性,中学生男子,240,100,46,19.2,131,54.6,5,2.1,58,24.2
属性,中学生女子,246,100,42,17.1,155,63,4,1.6,45,18.3
属性,高校生男子,278,100,13,4.7,250,89.9,1,0.4,14,5
属性,高校生女子,275,100,11,4,251,91.3,4,1.5,9,3.3
