区分１,区分２,該当数計,知っていた割合,知らなかった割合
全体,全体,1500,85.0,15.0
児童・生徒別,小学生,500,84.6,15.4
児童・生徒別,中学生,500,86.6,13.4
児童・生徒別,高校生,500,83.8,16.2
子供の性別,男性,745,83.6,16.4
子供の性別,女性,755,86.4,13.6
