区分１,区分２,該当数計,内容の説明があり、説明書の交付もあった割合（％）,内容の説明はあったが、説明書は交付はされなかった割合（％）,説明書は交付されたが、内容の説明はなかった割合（％）,内容の説明も、説明書の交付もなかった割合（％）,わからない割合（％）
全体,全体,1500,31.9,18.3,4.6,18.3,26.9
購入場所別,各携帯会社の販売店（ドコモショップ等）,944,36.5,17.3,4.3,14.6,27.2
購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,24.4,26.0,8.4,14.5,26.7
購入場所別,家電量販店,273,28.9,22.3,4.4,18.3,26.0
購入場所別,インターネット販売,96,13.5,13.5,4.2,55.2,13.5
購入場所別,その他,31,19.4,6.5,0.0,38.7,35.5
購入場所別,わからない,25,16.0,8.0,4.0,8.0,64.0
フィルタリングサービスの加入状況別,加入している,459,57.5,25.1,2.6,5.9,8.9
フィルタリングサービスの加入状況別,加入していない,563,24.0,20.8,7.5,28.1,19.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,24.5,10.4,1.0,24.5,36.5
フィルタリングサービスの加入状況別,わからない,229,8.3,7.4,2.2,12.2,69.9
利用制限サービスの加入状況別,加入している,261,51.0,25.3,3.4,7.3,13.0
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,35.0,28.4,4.4,16.4,15.8
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,28.9,15.4,4.7,31.1,19.8
利用制限サービスの加入状況別,わからない,85,17.6,7.1,4.7,7.1,63.5
