区分１,区分２,該当数（人）,価格（％）,機能が多くハイスペック（高機能）なもの（％）,操作や機能が比較的簡単でつかいやすいもの（％）,子供がほしがるもの（％）,その他（％）
全体,全体,1500,46.8,9.7,28.1,13.2,2.2
児童・生徒別,小学生,500,42.2,5.2,42.8,7.0,2.8
児童・生徒別,中学生,500,51.0,9.4,26.4,11.2,2.0
児童・生徒別,高校生,500,47.2,14.4,15.2,21.4,1.8
子どもの性別,男性,745,48.5,9.7,26.7,13.4,1.7
子どもの性別,女性,755,45.2,9.7,29.5,13.0,2.6
