区分１,区分２,該当数計,電話をする割合,メールをする割合,ＳＮＳ等のコミュニケーションアプリ割合,動画をみる割合,カメラ撮影割合,ゲームをする割合,音楽を聴く割合,インターネット割合,その他割合,わからない割合
全体,全体,1500,24.1,16.5,27.4,9.1,0.5,11.5,3.1,3.8,0.7,3.3
児童・生徒別,小学生,500,56.2,21.0,7.4,5.0,0.8,5.2,0.8,1.4,1.0,1.2
児童・生徒別,中学生,500,13.2,19.2,30.0,8.4,0.6,16.4,5.0,4.0,0.6,2.6
児童・生徒別,高校生,500,3.0,9.4,44.8,13.8,0.0,13.0,3.6,6.0,0.4,6.0
子供の性別,男性,745,27.2,11.7,22.0,9.3,0.1,17.7,3.0,4.6,0.8,3.6
子供の性別,女性,755,21.1,21.3,32.7,8.9,0.8,5.4,3.3,3.0,0.5,2.9
