区分１,区分２,該当数計,利用する時間の制限割合
全体,全体,896,58.6
児童・生徒別,小学生,308,54.5
児童・生徒別,中学生,348,69.5
児童・生徒別,高校生,240,47.9
子供の性別,男性,405,59.3
子供の性別,女性,491,58.0
児童・生徒×子供の性別,小学生男子,127,53.5
児童・生徒×子供の性別,小学生女子,181,55.2
