区分１,区分２,該当数計,割合計,ＳＮＳ※ＬＩＮＥ、Ｆａｃｅｂｏｏｋなど該当数,ＳＮＳ※ＬＩＮＥ、Ｆａｃｅｂｏｏｋなど割合,ＳＮＳ（動画形式）※Ｙｏｕｔｕｂｅ、ツイキャスなど該当数,ＳＮＳ（動画形式）※Ｙｏｕｔｕｂｅ、ツイキャスなど割合,ゲーム該当数,ゲーム割合,学習用該当数,学習用割合,その他該当数,その他割合,わからない該当数,わからない割合
全体,全体,847,100.0,769,90.8,454,53.6,512,60.4,146,17.2,7,0.8,13,1.5
児童・生徒別,小学生,106,100.0,82,77.4,5,47.2,63,59.4,18,17.0,0,0.0,0,0.0
児童・生徒別,中学生,323,100.0,288,89.2,161,49.8,212,65.6,48,14.9,2,0.6,3,0.9
児童・生徒別,高校生,418,100.0,399,95.5,243,58.1,237,56.7,80,19.1,5,1.2,10,2.4
子供の性別,男性,418,100.0,381,91.1,218,52.2,286,68.4,61,14.6,1,0.2,5,1.2
子供の性別,女性,429,100.0,388,90.4,236,55.0,226,52.7,85,19.8,6,1.4,8,1.9
児童・生徒×子供の性別,小学生男子,44,100.0,36,81.8,18,40.9,27,61.4,8,18.2,0,0.0,0,0.0
児童・生徒×子供の性別,小学生女子,62,100.0,46,74.2,32,51.6,36,58.1,10,16.1,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,153.,100.0,134,87.6,75,49.0,116,75.8,13,8.5,0,0.0,1,0.7
児童・生徒×子供の性別,中学生女子,170,100.0,154,90.6,86,50.6,96,56.5,35,20.6,2,1.2,2,1.2
児童・生徒×子供の性別,高校生男子,221,100.0,211,95.5,125,56.6,143,64.7,40,18.1,1,0.5,4,1.8
児童・生徒×子供の性別,高校生女子,197,100.0,188,95.4,118,59.9,94,47.7,40,20.3,4,2.0,6,3.0
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,492,100.0,449,91.3,282,57.3,298,6.6,80,16.3,2,0.4,8,1.6
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,85,100.0,75,88.2,41,48.2,49,57.6,12,14.1,0,0.0,1,1.2
携帯電話の購入所別,家電量販店,162,100.0,150,92.6,80,49.4,103,63.6,32,19.8,5,3.1,1,0.6
携帯電話の購入所別,インターネット販売,80,100.0,72,90.0,35,43.8,48,60.0,20,25.0,0,0.0,2,2.5
携帯電話の購入所別,その他,20,100.0,17,85.0,13,65.0,11,55.0,2,10.0,0,0.0,0,0.0
携帯電話の購入所別,わからない,8,100.0,6,75.0,3,37.5,3,37.5,0,0.0,0,0.0,1,12.5
フィルタリングサービスの加入状況別,加入している,323,100.0,291,90.1,170,52.6,196,60.7,55,17.0,3,0.9,3,0.9
フィルタリングサービスの加入状況別,加入していない,378,100.0,350,92.6,206,54.5,237,62.7,70,18.5,4,1.1,4,1.1
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,19,100.0,15,78.9,10,52.6,8,42.1,7,36.8,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,127,100.0,113,89.0,68,53.5,71,55.9,14,11.0,0,0.0,6,4.7
利用制限サービスの加入状況別,加入している,261,100.0,232,88.9,136,52.1,153,58.6,43,16.5,2,0.8,2,0.8
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,164,89.6,103,56.3,130,71.0,39,21.3,1,0.5,1,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,296,93.1,176,55.3,192,60.4,60,18.9,4,1.3,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,77,90.6,39,45.9,37,43.5,4,4.7,0,0.0,7,8.2
利用状況の管理状態別,利用状況の把握及び監督もできている,242,100.0,215,88.8,114,47.1,144,59.5,50,20.7,1,0.4,1,0.4
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,450,100.0,414,92.0,245,54.4,278,61.8,81,18.0,3,0.7,8,1.8
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,117,100.0,106,90.6,70,59.8,67,57.3,11,9.4,3,2.6,2,1.7
利用状況の管理状態別,子供の利用状況に関心がない,33,100.0,29,87.9,20,60.6,18,54.5,2,6.1,0,0.0,2,6.1
利用状況の管理状態別,その他,5,100.0,5,100.0,5,100.0,5,100.0,2,40.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,306,100.0,278,90.8,176,57.5,191,62.4,62,20.3,5,1.6,2,0.7
説明・学習経験別,インターネットで調べた,298,100.0,270,90.6,162,54.4,177,59.4,54,18.1,2,0.7,3,1.0
説明・学習経験別,学校から配布される資料等を読んだ,322,100.0,295,91.6,187,58.1,214,66.5,75,23.3,6,1.9,3,0.9
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,213,100.0,194,91.1,123,57.7,137,64.3,56,26.3,3,1.4,1,0.5
説明・学習経験別,知識のある知人から説明を受けた,36,100.0,29,80.6,19,52.8,26,72.2,11,30.6,0,0.0,0,0.0
説明・学習経験別,販売店等から詳しく説明をうけた,56,100.0,50,89.3,30,53.6,36,64.3,11,19.6,0,0.0,1,1.8
説明・学習経験別,公共施設などで開催された講座に参加した,14,100.0,9,64.3,8,57.1,7,50.0,5,35.7,0,0.0,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,170,100.0,156,91.8,81,47.6,97,57.1,19,11.2,1,0.6,5,2.9
説明・学習経験別,その他,8,100.0,6,75.0,7,87.5,4,50.0,2,25.0,0,0.0,0,0.0
