その他（主な内容）,件数,（％）
仕事で使う,7,0.5
マンガ、電子書籍等を読む,3,0.2
データ通信（調べものなど）,2,0.1
その他の回答（ワンセグ、株取引）等,2,0.1
その他　合計,14,0.9
