学年,該当数,割合
全体,2000,100
小学校１年生,160,8
小学校２年生,155,7.8
小学校３年生,158,7.9
小学校４年生,152,7.6
小学校５年生,169,8.5
小学校６年生,167,8.4
中学校１年生,145,7.3
中学校２年生,183,9.2
中学校３年生,158,7.9
高校１年生,169,8.5
高校２年生,184,9.2
高校３年生,200,10
