課題,割合
インターネットや携帯電話について、子供に教育できる十分な知識を身につけること,45.5
親子のコミュニケーションを緊密にすること,44.0
子供の使用状況について、保護者がもっと関心を払うこと,32.5
携帯電話等の使い方について、家庭のルールを作る,19.1
今のままで問題ない,11.9
携帯電話等の使い方について、友達の間でのルールを作るサポートをする,4.3
他の子供の保護者等ともっと情報交換をすること,4.2
その他,0.7
