年度,該当数計,メールが原因で友達とトラブルになった割合,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった割合,メールで誹謗中傷、チェーンメールなどが届いた割合,身に覚えのない料金請求のメールが届いた割合,無断で携帯・スマホ向けの有料ゲームを利用する等により、多額の請求が届いた割合,歩きスマホ等により何らかのトラブルにあった割合,個人情報を知られた（盗まれた）割合,掲示板等に個人の誹謗中傷などの書き込みをされた割合,使い過ぎによる体調不良や成績の落ち込み,ネット上で知り合った人と会う約束をしたり、実際に会う等をしていた割合,その他割合
28,145,27.6,26.9,15.9,19.3,6.2,7.6,2.1,3.4,-,3.4,25.5
27,110,27.3,21.8,19.1,11.8,-,-,0.9,0.9,36.4,-,12.7
