区分１,区分２,該当数計,各携帯電話会社の販売店（ドコモショップ等）割合,全携帯電話会社の機種を扱う販売代理店割合,家電量販店割合,インターネット販売割合,その他割合,わからない割合
全体,全体,1500,62.9,8.7,18.2,6.4,2.1,1.7
フィルタリングサービスの加入状況別,加入している,459,66.4,8.7,17.9,3.9,1.7,1.3
フィルタリングサービスの加入状況別,加入していない,563,58.6,7.1,20.6,10.7,2.3,0.7
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,66.3,8.4,16.5,4.8,2.4,1.6
フィルタリングサービスの加入状況別,わからない,229,62.9,13.1,14.8,2.6,1.7,4.8
利用制限サービスの加入状況別,加入している,261,65.1,9.6,18.4,4.6,1.9,0.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,56.3,10.4,21.9,7.7,3.3,0.5
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,52.5,9.1,19.5,16.0,2.5,0.3
利用制限サービスの加入状況別,わからない,85,61.2,14.1,14.1,3.5,1.2,5.9
