区分１,区分２,該当数計,３０分未満割合,３０分以上1時間未満割合,１時間以上２時間未満割合,２時間以上３時間未満割合,３時間以上４時間未満割合,４時間以上５時間未満割合,５時間以上割合,わからない割合
全体,全体,1500,36.2,13.3,16.9,12.8,5.1,2.1,2.9,10.7
児童・生徒別,小学生,500,73.8,11.0,6.6,4.2,1.2,0.4,0.0,2.8
児童・生徒別,中学生,500,28.4,18.2,21.8,13.8,3.8,2.0,1.6,10.4
児童・生徒別,高校生,500,6.4,10.6,22.4,20.4,10.4,3.8,7.2,18.8
子供の性別,男性,745,36.5,12.5,15.8,14.1,5.6,2.7,2.8,9.9
子供の性別,女性,755,35.9,14.0,18.0,11.5,4.6,1.5,3.0,11.4
