区分１,区分２,該当数計,アイテム交換等をすると言ってだまされた割合
全体,全体,57,21.1
児童・生徒別,小学生,23,34.8
児童・生徒別,中学生,20,10.0
児童・生徒別,高校生,14,14.3
子供の性別,男性,41,22.0
子供の性別,女性,16,18.8
