区分１,区分２,該当数計,緊急時に位置情報を知らせてくることができる機能割合（％）
全体,全体,1500,58.6
児童・生徒別,小学生,500,65.2
児童・生徒別,中学生,500,58.8
児童・生徒別,高校生,500,51.8
性別,男子,745,56.5
性別,女子,755,60.7
