区分１,区分２,該当数計,割合計,携帯電話回線、無線ＬＡＮ回線の両方で利用している該当数,携帯電話回線、無線ＬＡＮ回線の両方で利用している割合,携帯電話回線のみ、利用している該当数該当数,携帯電話回線のみ、利用している割合,無線ＬＡＮ回線のみ、利用している該当数,無線ＬＡＮ回線のみ、利用している割合,わからない該当数,わからない割合
全体,全体,359,100.0,198,55.2,101,28.1,14,3.9,46,12.8
児童・生徒別,小学生,51,100.0,31,60.8,6,11.8,4,7.8,10,19.6
児童・生徒別,中学生,164,100.0,87,53.0,53,32.3,7,4.3,17,10.4
児童・生徒別,高校生,144,100.0,80,55.6,42,29.2,3,2.1,19,13.2
子どもの性別,男性,166,100.0,84,50.6,54,32.5,7,4.2,21,12.7
子どもの性別,女性,193,100.0,114,59.1,47,24.4,7,3.6,25,13.0
児童・生徒×子どもの性別,小学生男子,26,100.0,14,53.8,5,19.2,2,7.7,5,19.2
児童・生徒×子どもの性別,小学生女子,25,100.0,17,68.0,1,4.0,2,8.0,5,20.0
児童・生徒×子どもの性別,中学生男子,72,100.0,34,47.2,26,36.1,3,4.2,9,12.5
児童・生徒×子どもの性別,中学生女子,92,100.0,53,57.6,27,29.3,4,4.3,8,8.7
児童・生徒×子どもの性別,高校生男子,68,100.0,36,52.9,23,33.8,2,2.9,7,10.3
児童・生徒×子どもの性別,高校生女子,76,100.0,44,57.9,19,25.0,1,1.3,12,15.8
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,228,100.0,127,55.7,63,27.6,9,3.9,29,12.7
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,34,100.0,13,38.2,11,32.4,3,8.8,7,20.6
携帯電話の購入場所別,家電量販店,68,100.0,39,57.4,21,30.9,1,1.5,7,10.3
携帯電話の購入場所別,インターネット販売,17,100.0,12,70.6,4,23.5,0,0.0,1,5.9
携帯電話の購入場所別,その他,7,100.0,3,42.9,1,14.3,1,14.3,2,28.6
携帯電話の購入場所別,わからない,5,100.0,4,80.0,1,20.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,加入している,359,100.0,198,55.2,101,28.1,14,3.9,46,12.8
フィルタリングサービスの加入状況別,加入していない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
フィルタリングサービスの加入状況別,わからない,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
利用制限サービスの加入状況別,加入している,198,100.0,106,53.5,63,31.8,4,2.0,25,12.6
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,77,100.0,42,54.5,22,28.6,5,6.5,8,10.4
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,31,100.0,18,58.1,5,16.1,3,9.7,5,16.1
利用制限サービスの加入状況別,わからない,12,100.0,4,33.3,2,16.7,1,8.3,5,41.7
利用状況の管理状態別,利用状況の把握及び監督もできている,126,100.0,91,72.2,24,19.0,3,2.4,8,6.3
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,204,100.0,97,47.5,66,32.4,11,5.4,30,14.7
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,22,100.0,9,40.9,9,40.9,0,0.0,4,18.2
利用状況の管理状態別,子供の利用状況に関心がない,7,100.0,1,14.3,2,28.6,0,0.0,4,57.1
利用状況の管理状態別,その他,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,145,100.0,75,51.7,43,29.7,5,3.4,22,15.2
説明・学習経験別,インターネットで調べた,137,100.0,90,65.7,34,24.8,6,4.4,7,5.1
説明・学習経験別,学校から配布される資料等を読んだ,158,100.0,93,58.9,41,25.9,3,1.9,21,13.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,109,100.0,63,57.8,26,23.9,3,2.8,17,15.6
説明・学習経験別,知識のある知人から説明を受けた,15,100.0,9,60.0,4,26.7,2,13.3,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,46,100.0,30,65.2,14,30.4,0,0.0,2,4.3
説明・学習経験別,公共施設などで開催された講座に参加した,7,100.0,7,100.0,0,0.0,0,0.0,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,48,100.0,22,45.8,17,35.4,2,4.2,7,14.6
説明・学習経験別,その他,3,100.0,3,100.0,0,0.0,0,0.0,0,0.0
