区分１,区分２,該当数計,未就学時割合,小学１年生～２年生割合,小学３年生～４年生割合,小学５年生～６年生割合,中学１年生割合,中学２年生割合,中学３年生割合,高校１年生割合,高校２年生割合,高校３年生割合
全体,全体,510,3.1,38.0,36.3,14.3,5.7,0.4,1.2,0.6,0.0,0.4
児童・生徒別,小学生,366,3.8,47.0,39.9,9.3,0.0,0.0,0.0,0.0,0.0,0.0
児童・生徒別,中学生,122,1.6,17.2,29.5,25.4,22.1,1.6,2.5,0.0,0.0,0.0
児童・生徒別,高校生,22,0.0,4.5,13.6,36.4,9.1,0.0,13.6,13.6,0.0,9.1
子供の性別,男性,250,3.2,40.4,35.2,12.0,6.4,0.8,1.2,0.0,0.0,0.8
子供の性別,女性,260,3.1,35.8,37.3,16.5,5.0,0.0,1.2,1.2,0.0,0.0
