区分１,区分２,該当数計,子どもが有害情報を含むアプリをダウンロードしないよう、保護者として適切に管理できているから割合
全体,全体,318,15.1
児童・生徒別,小学生,26,26.9
児童・生徒別,中学生,91,14.3
児童・生徒別,高校生,201,13.9
子供の性別,男性,165,12.7
子供の性別,女性,153,17.6
