区分１,区分２,該当数計（人）,該当数割合（％）,インターネットや携帯電話について、子供に教育できる十分な知識を身に着けること該当数（人）,インターネットや携帯電話について、子供に教育できる十分な知識を身に着けること割合（％）,子供の使用状況について、保護者がもっと関心を払うこと該当数（人）,子供の使用状況について、保護者がもっと関心を払うこと割合（％）,親子のコミュニケーションを緊密にすること該当数（人）,親子のコミュニケーションを緊密にすること割合（％）,他の子どもの保護者等ともっと情報交換をすること該当数（人）,他の子どもの保護者等ともっと情報交換をすること割合（％）,携帯電話の使い方について、家庭のルールを作る該当数（人）,携帯電話の使い方について、家庭のルールを作る割合（％）,携帯電話の使い方のついて、友達の間でのルールを作るサポートをする該当数（人）,携帯電話の使い方のついて、友達の間でのルールを作るサポートをする割合（％）,今のままで問題ない該当数（人）,今のままで問題ない割合（％）,その他該当数（人）,その他割合（％）
全体,全体,1500,100.0,683,45.5,487,32.5,660,44.0,63,4.2,286,19.1,65,4.3,178,11.9,11,0.7
児童・生徒別,小学生,500,100.0,241,48.2,160,32.0,224,44.8,15,3.0,109,21.8,27,5.4,55,11.0,2,0.4
児童・生徒別,中学生,500,100.0,232,46.4,174,34.8,221,44.2,29,5.8,95,19.0,22,4.4,48,9.6,6,1.2
児童・生徒別,高校生,500,100.0,210,42.0,153,30.6,215,43.0,19,3.8,82,16.4,16,3.2,75,15.0,3,0.6
子どもの性別,男性,745,100.0,338,45.4,237,31.8,296,39.7,31,4.2,132,17.7,23,3.1,106,14.2,6,0.8
子どもの性別,女性,455,100.0,345,45.7,250,33.1,364,48.2,32,4.2,154,20.4,42,5.6,72,9.5,5,0.7
児童・生徒×子どもの性別,小学生男子,232,100.0,113,48.7,72,31.0,94,40.5,3,1.3,49,21.1,6,2.6,32,13.8,2,0.9
児童・生徒×子どもの性別,小学生女子,268,100.0,128,47.8,88,32.8,130,48.5,12,4.5,60,22.4,21,7.8,23,8.6,0,0.0
児童・生徒×子どもの性別,中学生男子,244,100.0,120,49.2,84,34.4,100,41.0,16,6.6,43,17.6,9,3.7,25,10.2,2,0.8
児童・生徒×子どもの性別,中学生女子,256,100.0,112,43.8,90,35.2,121,47.3,13,5.1,52,20.3,13,5.1,23,9.0,4,1.6
児童・生徒×子どもの性別,高校生男子,269,100.0,105,39.0,81,30.1,102,37.9,12,4.5,40,14.9,8,3.0,49,18.2,2,0.7
児童・生徒×子どもの性別,高校生女子,231,100.0,105,45.5,72,31.2,113,48.9,7,3.0,42,18.2,8,3.5,26,11.3,1,0.4
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,440,46.6,308,32.6,414,43.9,41,4.3,162,17.2,37,3.9,116,9.9,0,0.0
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,51,38.9,42,32.1,55,42.0,5,3.8,35,26.7,10,7.6,13,9.9,0,0.0
携帯電話の購入場所別,家電量販店,273,100.0,121,44.3,86,31.5,119,43.6,11,4.0,64,23.4,14,5.1,32,11.7,2,0.7
携帯電話の購入場所別,インターネット販売,96,100.0,45,50.0,40,41.7,49,51.0,4,4.2,17,17.7,3,3.1,3,3.1,1,1.0
携帯電話の購入場所別,その他,31,100.0,13,41.9,10,32.3,18,58.1,1,3.2,7,22.6,0,0.0,4,12.9,0,0.0
携帯電話の購入場所別,わからない,25,100.0,10,40.0,1,4.0,5,20.0,1,4.0,1,4.0,1,4.0,10,40.0,0,0.0
フィルタリングサービスの加入状況別,加入している,459,100.0,216,47.1,193,42.0,217,47.3,21,4.6,91,19.8,19,4.1,30,6.5,1,0.2
フィルタリングサービスの加入状況別,加入していない,563,100.0,263,46.7,165,29.3,246,43.7,27,4.8,98,17.4,23,4.1,67,11.9,3,0.5
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,119,47.8,73,29.3,111,44.6,8,3.2,59,23.7,12,4.8,29,11.6,4,1.6
フィルタリングサービスの加入状況別,わからない,229,100.0,85,37.1,56,24.5,86,37.6,7,3.1,38,16.6,11,4.8,52,22.7,3,1.3
利用制限サービスの加入状況別,加入している,261,100.0,124,47.5,118,45.2,117,44.8,16,6.1,47,18.0,12,4.6,16,6.1,1,0.4
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,78,42.6,75,41.0,97,53.0,5,2.7,53,29.0,7,3.8,11,6.0,0,0.0
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,144,45.3,89,28.0,149,46.9,16,5.0,50,15.7,10,3.1,38,11.9,3,0.9
利用制限サービスの加入状況別,わからない,85,100.0,31,36.5,17,20.0,37,43.5,4,4.7,12,14.1,5,5.9,15,17.6,1,1.2
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,283,49.3,214,37.3,251,43.7,12,2.1,108,18.8,20,3.5,64,11.1,6,1.0
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,303,45.0,217,32.2,332,49.3,40,5.9,133,19.7,28,4.2,57,8.5,2,0.3
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,78,45.9,81,30.0,58,34.1,8,4.7,33,19.4,15,8.8,17,10.0,2,1.2
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,14,19.2,3,4.1,15,20.5,3,4.1,9,12.3,2,2.7,39,53.4,0,0.0
利用状況の管理状態別,その他,9,100.0,5,55.6,2,22.2,4,44.4,0,0.0,3,33.3,0,0.0,1,11.1,1,11.1
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,314,56.3,219,39.2,277,49.6,16,2.9,105,18.8,24,4.3,21,3.8,3,0.5
説明・学習経験別,インターネットで調べた,505,100.0,279,55.2,180,35.6,256,50.7,22,4.4,88,17.4,13,2.6,26,5.1,4,0.8
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,267,49.2,212,39.0,282,51.9,28,5.2,131,24.1,32,5.9,19,3.5,6,1.1
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,173,50.0,143,41.3,172,49.7,27,7.8,91,26.3,21,6.1,11,3.2,5,1.4
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,28,47.5,26,44.1,22,37.3,5,8.5,17,28.8,1,1.7,3,5.1,0,0.0
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,40,45.5,34,38.6,45,51.1,11,12.5,22,25.0,8,9.1,2,2.3,1,1.1
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,11,52.4,8,38.1,8,38.1,3,14.3,4,19.0,4,19.0,1,4.8,0,0.0
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,98,29.3,73,21.9,96,28.7,4,1.2,46,13.8,15,4.5,124,37.1,1,0.3
説明・学習経験別,その他,11,100.0,7,63.6,3,27.3,6,54.5,0,0.0,5,45.5,0,0.0,0,0.0,0,0.0
