その他（主な内容）,件数,（％）
特に理由はない,7,1.2
ルールを決めるほどではない、自制しているから必要ない,3,0.5
ガラケーを使用しているから,2,0.3
その他の回答（適宜指摘しているから、いうことを聞かないから）等,5,0.8
その他　合計,17,2.8
