区分１,区分２,インターネットや携帯電話について、子供に教育できる十分な知識を身に着けること（%）
全体,全体,45.5
児童・生徒別,小学生,48.2
児童・生徒別,中学生,46.4
児童・生徒別,高校生,42.0
子どもの性別,男性,45.4
子どもの性別,女性,45.7
