区分１,区分２,該当数計,身に覚えのない料金請求のメールが届いた割合
全体,全体,145,19.3
児童・生徒別,小学生,37,10.8
児童・生徒別,中学生,68,22.1
児童・生徒別,高校生,40,22.5
子供の性別,男性,88,20.5
子供の性別,女性,57,17.5
