年度,該当数計,割合計,加入している割合,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている割合,加入していないし、特段の制限も設けていない割合,わからない割合
28,847,100.0,30.8,21.6,37.5,10.0
27,686,100.0,33.8,21.6,36.7,7.9
26,697,100.0,24.7,16.2,37.9,21.2
