区分１,区分２,該当数計,割合計,作っている該当数,作っている割合,作っていない該当数,作っていない割合,わからない該当数,わからない割合
全体,全体,1500,100.0,180,12.0,646,43.1,674,44.9
児童・生徒別,小学生,500,100.0,77,15.4,267,53.4,156,31.2
児童・生徒別,中学生,500,100.0,69,13.8,191,38.2,240,48.0
児童・生徒別,高校生,500,100.0,34,6.8,188,37.6,278,55.6
子どもの性別,男性,745,100.0,73,9.8,333,44.7,339,45.5
子どもの性別,女性,755,100.0,107,14.2,313,41.5,335,44.4
児童・生徒×子どもの性別,小学生男子,232,100.0,32,13.8,130,56.0,70,30.2
児童・生徒×子どもの性別,小学生女子,268,100.0,45,16.8,137,51.1,86,32.1
児童・生徒×子どもの性別,中学生男子,244,100.0,26,10.7,93,38.1,125,51.2
児童・生徒×子どもの性別,中学生女子,256,100.0,43,16.8,98,38.3,115,44.9
児童・生徒×子どもの性別,高校生男子,269,100.0,15,5.6,110,40.9,144,53.5
児童・生徒×子どもの性別,高校生女子,231,100.0,19,8.2,78,33.8,134,58.0
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,115,12.2,418,44.3,411,43.5
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,15,11.5,54,41.2,62,47.3
携帯電話の購入場所別,家電量販店,273,100.0,31,11.4,111,40.7,131,48.0
携帯電話の購入場所別,インターネット販売,96,100.0,15,15.6,41,42.7,40,41.7
携帯電話の購入場所別,その他,31,100.0,1,3.2,12,38.7,18,58.1
携帯電話の購入場所別,わからない,25,100.0,3,12.0,10,40.0,12,48.0
フィルタリングサービスの加入状況別,加入している,459,100.0,77,16.8,180,39.2,202,44.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,68,12.1,265,47.1,230,40.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,26,10.4,144,57.8,79,31.7
フィルタリングサービスの加入状況別,わからない,229,100.0,9,3.9,57,24.9,163,71.2
利用制限サービスの加入状況別,加入している,261,100.0,49,18.8,85,32.6,127,48.7
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,27,14.8,66,36.1,90,49.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,24,7.5,140,44.0,154,48.4
利用制限サービスの加入状況別,わからない,85,100.0,7,8.2,21,24.7,57,67.1
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,101,17.6,275,47.9,198,34.5
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,64,9.5,260,38.6,350,51.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,12,7.1,68,40.0,90,52.9
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,3,4.1,39,53.4,31,42.5
利用状況の管理状態別,その他,9,100.0,0,0.0,4,44.4,5,55.6
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,72,12.9,222,39.8,264,57.3
説明・学習経験別,インターネットで調べた,505,100.0,87,17.2,206,40.8,212,42.0
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,77,14.2,216,39.8,250,46.0
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,51,14.7,144,41.6,151,43.6
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,15,25.4,23,39.0,21,35.6
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,18,20.5,30,34.1,40,45.5
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,2,9.5,12,57.1,7,33.3
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,20,6.0,131,48.2,153,45.8
説明・学習経験別,その他,11,100.0,2,18.2,161,27.3,6,54.5
,,,,,,,,,
