年度,該当数計,学校の授業等で、ネットの危険性について取り扱う割合,インターネットの危険性について啓発する講演会・イベントの開催の割合,家庭のルール作りを推進する講座の開催の割合,学校・地域（家庭外）のルール作りを推進する講座の開催の割合,ネットに潜む危険性に関する、より一層の広報の割合,ネットトラブル相談の充実化の割合,子供の有害にならないよう、事業者を規制すべき割合,小中学校への携帯電話・スマートフォンの持ち込みを厳禁にする割合,各家庭で中学生にスマートフォンを持たせないようにする割合,各家庭で小学生に携帯電話・スマートフォンを持たせないようにする割合,特に必要ない割合,その他割合
28,1500,31.3,23.9,20.5,18.4,16.5,15.1,12.1,7.7,3.8,2.3,11.4,1.0
27,1500,33.1,23.7,19.4,15.8,19.2,14.5,13.3,7.3,2.7,2.3,12.2,0.9
26,1500,42.5,25.3,20.3,18.1,26.6,17.5,-,-,-,-,12.9,1.1
