区分１,区分２,該当数計,割合計,必要だ該当数,必要だ割合,必要ない該当数,必要ない割合
全体,全体,1500,100.0,1129,75.3,371,24.7
児童・生徒別,小学生,500,100.0,404,80.8,96,19.2
児童・生徒別,中学生,500,100.0,404,80.8,96,19.2
児童・生徒別,高校生,500,100.0,321,64.2,179,35.8
子どもの性別,男性,745,100.0,535,71.8,210,28.2
子どもの性別,女性,755,100.0,594,78.7,161,21.3
児童・生徒×子どもの性別,小学生男子,232,100.0,184,79.3,48,20.7
児童・生徒×子どもの性別,小学生女子,268,100.0,220,82.1,48,17.9
児童・生徒×子どもの性別,中学生男子,244,100.0,192,78.7,52,21.3
児童・生徒×子どもの性別,中学生女子,256,100.0,212,82.8,44,17.2
児童・生徒×子どもの性別,高校生男子,269,100.0,159,59.1,110,40.9
児童・生徒×子どもの性別,高校生女子,231,100.0,162,70.1,69,29.9
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,698,73.9,246,26.1
携帯電話の購入場所別,全携帯電話等会社の機種を扱う販売代理店,131,100.0,106,80.9,25,19.1
携帯電話の購入場所別,家電量販店,273,100.0,210,76.9,63,23.1
携帯電話の購入場所別,インターネット販売,96,100.0,78,81.3,18,18.8
携帯電話の購入場所別,その他,31,100.0,22,71.0,9,29.0
携帯電話の購入場所別,わからない,25,100.0,15,60.0,10,40.0
フィルタリングサービスの加入状況別,加入している,459,100.0,372,81.0,87,19.0
フィルタリングサービスの加入状況別,加入していない,563,100.0,406,72.1,157,27.9
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,199,79.9,50,20.1
フィルタリングサービスの加入状況別,わからない,229,100.0,152,66.4,77,33.6
利用制限サービスの加入状況別,加入している,261,100.0,208,79.7,53,20.3
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,152,83.1,31,16.9
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,214,67.3,104,32.7
利用制限サービスの加入状況別,わからない,85,100.0,52,61.2,33,38.8
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,443,77.2,131,22.8
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,533,79.1,141,20.9
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,124,72.9,46,27.1
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,24,32.9,49,67.1
利用状況の管理状態別,その他,9,100.0,5,55.6,4,44.4
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,445,79.7,113,20.3
説明・学習経験別,インターネットで調べた,505,100.0,394,78.0,111,22.0
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,449,82.7,94,17.3
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,287,82.9,59,17.1
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,51,86.4,8,13.6
説明・学習経験別,販売店等から詳しく説明を受けた,88,100.0,74,84.1,14,15.9
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,18,85.7,3,14.3
説明・学習経験別,特に説明を受けたり学習したことはない,334,100.0,209,62.6,125,37.4
説明・学習経験別,その他,11,100.0,7,63.6,4,36.4
