区分１,区分２,該当数計,提出した割合（％）,提出していない割合（％）,わからない割合（％）
全体,全体,563,5.9,66.6,27.5
児童・生徒別,小学生,143,2.1,72.7,25.2
児童・生徒別,中学生,172,4.1,68.6,27.3
児童・生徒別,高校生,248,9.3,61.7,29.0
性別,男子,296,5.1,66.9,28.0
性別,女子,267,6.7,66.3,27.0
