区分１,区分２,該当数計,該当数割合,高額の料金を請求されてしまう該当数,高額の料金を請求されてしまう割合,スマートフォンに依存してしまう該当数,スマートフォンに依存してしまう割合,有害なサイトを閲覧するかもしれない該当数,有害なサイトを閲覧するかもしれない割合,出会い系アプリ等で、知らない人と知り合いになれてしまう該当数,出会い系アプリ等で、知らない人と知り合いになれてしまう割合,ＳＮＳを使用し、友達とトラブルになる該当数,ＳＮＳを使用し、友達とトラブルになる割合,自分の写真をアップして、トラブルに巻き込まれる該当数,自分の写真をアップして、トラブルに巻き込まれる割合,不安なことはない該当数,不安なことはない割合,その他該当数,その他割合
全体,全体,990,100.0,281,28.4,617,62.3,377,38.1,361,36.5,409,41.3,252,25.5,132,13.3,9,0.9
児童・生徒別,小学生,134,100.0,52,38.8,85,63.4,62,46.3,70,52.2,65,48.5,44,32.8,15,11.2,2,1.5
児童・生徒別,中学生,378,100.0,92,24.3,254,67.2,161,42.6,137,36.2,186,49.2,106,28.0,39,10.3,3,0.8
児童・生徒別,高校生,478,100.0,137,28.7,278,58.2,154,32.2,154,32.2,158,33.1,102,21.3,78,16.3,4,0.8
子どもの性別,男性,495,100.0,146,29.5,299,60.4,200,40.4,149,30.1,171,34.5,96,19.4,83,16.8,4,0.8
子どもの性別,女性,495,100.0,135,27.3,318,64.2,177,35.8,212,42.8,238,48.1,156,31.5,49,9.9,5,1.0
児童・生徒×子どもの性別,小学生男子,56,100.0,27,48.2,36,64.3,26,46.4,22,39.3,25,44.6,14,25.0,7,12.5,2,3.6
児童・生徒×子どもの性別,小学生女子,78,100.0,25,32.1,49,62.8,36,46.2,48,61.5,40,51.3,30,38.5,8,10.3,0,0.0
児童・生徒×子どもの性別,中学生男子,183,100.0,49,26.8,124,67.8,88,48.1,60,32.8,79,53.2,43,23.5,24,13.1,0,0.0
児童・生徒×子どもの性別,中学生女子,195,100.0,43,22.1,130,66.7,73,37.4,77,39.5,107,54.9,63,32.3,15,7.7,3,1.5
児童・生徒×子どもの性別,高校生男子,256,100.0,70,27.3,139,54.3,86,33.6,67,26.2,67,26.2,39,15.2,52,20.3,2,0.8
児童・生徒×子どもの性別,高校生女子,222,100.0,67,30.2,139,62.6,68,30.6,87,39.2,91,41.0,63,28.4,26,11.7,2,0.9
携帯電話の購入場所別,各携帯会社の販売店（ドコモショップ等）,577,100.0,162,28.1,341,59.1,201,34.8,203,35.2,224,38.8,138,23.9,86,14.9,6,1.0
