区分１,区分２,該当数計,携帯電話回線、無線ＬＡＮ回線の両方で利用している割合（％）,携帯電話回線のみ、利用している割合（％）,無線ＬＡＮ回線のみ、利用している割合（％）,わからない割合（％）
全体,全体,359,55.2,28.1,3.9,12.8
児童・生徒別,小学生,51,60.8,11.8,7.8,19.6
児童・生徒別,中学生,164,53.0,32.3,4.3,10.4
児童・生徒別,高校生,144,55.6,29.2,2.1,13.2
性別,男子,166,50.6,32.5,4.2,12.7
性別,女子,193,59.1,24.4,3.6,13.0
