その他（主な内容）,件数,（％）
もともと詳しい（職業柄知見がある、ＩＴ専門家、家族がＩＴ企業に勤務）等,6,0.4
その他の回答（警察からの指導、講習会に参加した、責任をもって調べた）等,5,0.3
その他　合計,11,0.7
