区分１,区分２,該当数計（人）,割合計（％）,小学４年生該当数（人）,小学４年生割合（％）,小学５年生該当数（人）,小学５年生割合（％）,小学６年生該当数（人）,小学６年生割合（％）,中学１年生該当数（人）,中学１年生割合（％）,中学２年生該当数（人）,中学２年生割合（％）,中学３年生該当数（人）,中学３年生割合（％）,高校１年生該当数（人）,高校１年生割合（％）,高校２年生該当数（人）,高校２年生割合（％）,高校３年生該当数（人）,高校３年生割合（％）
全体,全体,1500,100.0,146,9.7,174,11.6,180,12.0,150,10.0,179,11.9,171,11.4,164,10.9,157,10.5,179,11.9
児童・生徒別,小学生,500,100.0,146,29.2,174,34.8,180,36.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒別,中学生,500,100.0,0,0.0,0,0.0,0,0.0,150,30.0,179,35.8,171,34.2,0,0.0,0,0.0,0,0.0
児童・生徒別,高校生,500,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,164,32.8,157,31.4,179,35.8
子供の性別,男性,745,100.0,78,10.5,79,10.6,75,10.1,65,8.7,89,11.9,90,12.1,91,12.2,79,10.6,99,13.3
子供の性別,女性,755,100.0,68,9.0,95,12.6,105,13.9,85,11.3,90,11.9,81,10.7,73,9.7,78,10.3,80,10.6
児童・生徒×子供の性別,小学生男子,232,100.0,78,33.6,79,34.1,75,32.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,小学生女子,268,100.0,68,25.4,95,35.4,105,39.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生男子,244,100.0,0,0.0,0,0.0,0,0.0,65,26.6,89,36.5,90,36.9,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,中学生女子,256,100.0,0,0.0,0,0.0,0,0.0,85,33.2,90,35.2,81,31.6,0,0.0,0,0.0,0,0.0
児童・生徒×子供の性別,高校生男子,269,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,91,33.8,79,29.4,99,36.8
児童・生徒×子供の性別,高校生女子,231,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,73,31.6,78,33.8,80,34.6
携帯電話の購入所別,各携帯会社の販売店（ドコモショップ等）,944,100.0,102,10.8,118,12.5,107,11.3,83,8.8,102,10.8,107,11.3,112,11.9,100,10.6,113,12.0
携帯電話の購入所別,全携帯電話会社の機種を扱う販売代理店,131,100.0,7,5.3,14,10.7,21,16.0,16,12.2,14,10.7,12,9.2,10,7.6,17,13.0,20,15.3
携帯電話の購入所別,家電量販店,273,100.0,22,8.1,31,11.4,35,12.8,26,9.5,42,15.4,29,10.6,26,9.5,33,12.1,29,10.6
携帯電話の購入所別,インターネット販売,96,100.0,6,6.3,5,5.2,8,8.3,16,16.7,15,15.6,19,19.8,14,14.6,4,4.2,9,9.4
携帯電話の購入所別,その他,31,100.0,5,16.1,4,12.9,3,9.7,6,19.4,4,12.9,2,6.5,1,3.2,2,6.5,4,12.9
携帯電話の購入所別,わからない,25,100.0,4,16.0,2,8.0,6,24.0,3,12.0,2,8.0,2,8.0,1,4.0,1,4.0,4,16.0
フィルタリングサービスの加入状況別,加入している,459,100.0,30,6.5,35,7.6,38,8.3,64,13.9,80,17.4,59,12.9,53,11.5,49,10.7,51,11.1
フィルタリングサービスの加入状況別,加入していない,563,100.0,30,5.3,47,8.3,66,11.7,43,7.6,66,11.7,63,11.2,81,14.4,79,14.0,88,15.6
フィルタリングサービスの加入状況別,インターネットが使えない機種・設定になっている,249,100.0,71,28.5,75,30.1,54,21.7,19,7.6,10,4.0,14,5.6,1,6.4,0,0.0,5,2.0
フィルタリングサービスの加入状況別,わからない,229,100.0,15,6.6,17,7.4,22,9.6,24,10.5,23,10.0,35,15.3,29,12.7,29,12.7,35,15.3
利用制限サービスの加入状況別,加入している,261,100.0,12,4.6,6,2.3,14,5.4,43,16.5,48,18.4,41,15.7,40,15.3,28,10.7,29,11.1
利用制限サービスの加入状況別,加入していないが、保護者の承諾がないとダウンロードさせないなど、アプリのダウンロードについて制限を加えている,183,100.0,4,2.2,10,5.5,24,13.1,21,11.5,34,18.6,18,9.8,26,14.2,20,10.9,26,14.2
利用制限サービスの加入状況別,加入していないし、特段の制限も設けていない,318,100.0,7,2.2,8,2.5,11,3.5,25,7.9,32,10.1,34,10.7,53,16.7,70,22.0,78,24.5
利用制限サービスの加入状況別,わからない,85,100.0,1,1.2,4,4.7,5,5.9,7,8.2,9,10.6,11,12.9,18,21.2,16,18.8,14,16.5
利用状況の管理状態別,利用状況の把握及び監督もできている,574,100.0,85,14.8,104,18.1,101,17.6,59,10.3,55,9.6,58,10.1,35,6.1,32,5.6,45,7.8
利用状況の管理状態別,利用状況は把握しているが、監督まではできていない,674,100.0,50,7.4,48,7.1,59,8.8,74,11.0,102,15.1,86,12.8,91,13.5,79,11.7,85,12.6
利用状況の管理状態別,利用状況を把握しておらず、監督もできていない,170,100.0,4,2.4,11,6.5,12,7.1,11,6.5,16,9.4,21,12.4,26,15.3,34,20.0,35,20.6
利用状況の管理状態別,子供の利用状況に関心がない,73,100.0,6,8.2,9,12.3,8,11.0,6,8.2,5,6.8,6,8.2,10,13.7,11,15.1,12,16.4
利用状況の管理状態別,その他,9,100.0,1,11.1,2,22.2,0,0.0,0,0.0,1,11.1,0,0.0,2,22.2,1,11.1,2,22.2
説明・学習経験別,テレビや本・雑誌などの特集を見た、読んだ,558,100.0,53,9.5,63,11.3,71,12.7,58,10.4,83,14.9,53,9.5,49,8.8,57,10.2,71,12.7
説明・学習経験別,インターネットで調べた,505,100.0,43,8.5,58,11.5,64,12.7,54,10.7,63,12.5,55,10.9,59,11.7,52,10.3,57,11.3
説明・学習経験別,学校から配布される資料等を読んだ,543,100.0,46,8.5,54,9.9,66,12.2,66,12.2,70,12.9,71,13.1,64,11.8,44,8.1,62,11.4
説明・学習経験別,学校の保護者会等で行われた講演会で説明を受けた,346,100.0,34,9.8,31,9.0,45,13.0,42,12.1,45,13.0,44,12.7,37,10.7,35,10.1,33,9.5
説明・学習経験別,知識のある知人から説明を受けた,59,100.0,5,8.5,8,13.6,7,11.9,4,6.8,2,3.4,14,23.7,7,11.9,6,10.2,6,10.2
説明・学習経験別,販売店等から詳しく説明をうけた,88,100.0,5,5.7,7,8.0,10,11.4,13,14.8,13,14.8,15,17.0,8,9.1,5,5.7,12,13.6
説明・学習経験別,公共施設などで開催された講座に参加した,21,100.0,1,4.8,2,9.5,3,14.3,4,19.0,2,9.5,7,33.3,1,4.8,1,4.8,0,0.0
説明・学習経験別,特に説明をうけたり学習したりしたことはない,334,100.0,42,12.6,46,13.8,37,11.1,21,6.3,30,9.0,37,11.1,39,11.7,35,10.5,47,14.1
説明・学習経験別,その他,11,100.0,0,0.0,2,18.2,2,18.2,0,0.0,1,9.1,0,0.0,1,9.1,2,18.2,3,27.3
