区分１,区分２,該当数計,利用時間（夜１０時まで等）を決めている割合（％）
全体,全体,180,65.0
児童・生徒別,小学生,77,66.2
児童・生徒別,中学生,69,76.8
児童・生徒別,高校生,34,38.2
性別,男子,73,63.0
性別,女子,107,66.4
