年度,該当数計,割合計,未就学時割合,小学１年生～２年生割合,小学３年生～４年生割合,小学５年生～６年生割合,中学１年生割合,中学２年生割合,中学３年生割合,高校１年生割合,高校２年生割合,高校３年生割合
28,990,100.0,0.2,1.4,7.9,15.4,29.6,10.4,12.7,20.5,1.3,0.6
27,856,100.0,0.6,2.1,5.0,16.7,25.9,11.3,11.8,23.4,1.9,1.3
26,791,100.0,0.1,2.5,5.2,15.3,19.8,10.7,13.0,27.6,4.0,1.6
