区分１,区分２,該当数計,無料アプリやコミュニケーションアプリが原因で、友達等とトラブルになった割合
全体,全体,145,26.9
児童・生徒別,小学生,37,21.6
児童・生徒別,中学生,68,29.4
児童・生徒別,高校生,40,27.5
子供の性別,男性,88,29.5
子供の性別,女性,57,22.8
