区分１,区分２,該当数計,フィルタリングサービスを利用すると、子供の日常生活に不便が生じるから割合（％）
全体,全体,563,11.7
児童・生徒別,小学生,143,8.4
児童・生徒別,中学生,172,7.6
児童・生徒別,高校生,248,16.5
性別,男子,296,12.5
性別,女子,267,10.9
