区分１,区分２,該当数（人）,電話をする（％）,メールをする（％）,ＳＮＳ等のコミュニケーションアプリ（％）,動画を見る（％）,カメラ撮影（％）,ゲームをする（％）,音楽を聴く（％）,インターネット（％）,その他（％）
全体,全体,1500,16.1,27.9,21.1,1.1,0.5,5.3,1.7,25.3,0.9
児童・生徒別,小学生,500,16.4,25.6,19.8,0.6,0.4,4.6,1.6,29.6,1.4
児童・生徒別,中学生,500,16.6,27,20.4,1,0.6,5.8,2,25.6,1
児童・生徒別,高校生,500,15.4,31.2,23.2,1.6,0.6,5.4,1.6,20.6,0.4
性別,男子,745,17.6,27.9,19.7,0.9,0.7,5,1.6,25.9,0.7
性別,女子,755,14.7,27.9,22.5,1.2,0.4,5.6,1.9,24.6,1.2
