区分１,区分２,該当数計,作っている割合,作っていない割合
全体,全体,896,53.9,46.1
児童・生徒別,小学生,308,49.4,50.6
児童・生徒別,中学生,348,65.8,34.2
児童・生徒別,高校生,240,42.5,57.5
子供の性別,男性,405,57.8,42.2
子供の性別,女性,491,50.7,49.3
