"届出番号","党派名","候補者名","21:40[人]","22:00[人]","22:30[人]","22:50確定[人]"
"1","都民ファーストの会","入江のぶこ","5000","20000","35000","35263"
"2","自由民主党","かんの弘一","2000","6500","15000","15350"
"3","無所属","大塚たかあき","2000","6500","13000","13440"
"4","日本共産党","染谷ふみ子","1000","6000","11000","11434"
"6","自由民主党","きたしろ勝彦","2000","6000","8500","8723"
"5","幸福実現党","なべ島ひさし","0","0","500","686"

"平成29年7月2日執行　東京都議会議員選挙開票推移","Ver201707",,,,,
