"年度","戸板女子短期大学 服飾芸術科[人]","戸板女子短期大学 食物栄養科[人]","戸板女子短期大学 国際コミュ学科[人]","東京海洋大学 海洋科学部[人]","東京海洋大学 海洋資源環境学部[人]","東京海洋大学 海洋生命科学部[人]","東京海洋大学 水産専攻科[人]","東京海洋大学 海洋科学専攻科[人]","東京海洋大学 大学院[人]","北里大学 薬学部[人]","北里大学 大学院[人]","慶応義塾大学 文学部[人]","慶応義塾大学 経済学部[人]","慶応義塾大学 法学部[人]","慶応義塾大学 商学部[人]","慶応義塾大学 薬学部[人]","慶応義塾大学 大学院[人]","芝浦工業大学 デザイン工学科[人]","芝浦工業大学 大学院[人]","東海大学 情報通信学部[人]","東海大学 大学院[人]","東京慈恵会医科大学 医学部[人]","東京慈恵会医科大学 大学院[人]","東洋英和女学院大学 大学院（夜間）[人]","明治学院大学 文学部[人]","明治学院大学 経済学部[人]","明治学院大学 社会学部[人]","明治学院大学 法学部[人]","明治学院大学 心理学部[人]","明治学院大学 大学院[人]","政策研究大学院大学 大学院[人]","事業構想大学院大学 大学院（夜間）[人]","合計[人]"
"2018","377","312","250","621","229","357","43",,"562","1395","150","2645","2547","2659","2188","965","1278","318","63","1385","62","676","175","87","1033","1406","1047","1321","674","149","380","74","25428"
"2019","378","318","253","334","340","539","38",,"555","1398","158","2675","2569","2615","2251","953","1090","343","41","1337","64","558","187","77","1067","1583","1077","1342","658","160","344","86","25388"
"2020","376","312","256","34","444","722","41",,"534","1408","150","2660","2654","2677","2224","935","1232","340","42","1340","61","556","186","71","1059","1502","1123","1314","630","159","335","95","25472"
"2021","385","311","240","11","450","741","3","38","546","1429","136","2668","2698","2672","2230","936","1217","335","68","1334","46","548","187","71","1032","1268","1059","1283","623","144","379","93","25181"
"2022","383","308","228","3","459","748",,"40","566","1434","152","2650","2634","2563","2223","930","1207","330","89","1005","50","546","181","81","1033","1265","978","1283","620","141","363","96","24589"

"令和4年度港区行政資料集　短期大学・大学・大学院大学学生数","Ver202205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
