"年月[西暦]","施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号"
"202404","ＱＢハウスゆりかもめ新橋駅店","105-0021","東京都港区東新橋一丁目1番8号","ゆりかもめ新橋駅改札横","2024/4/1","5港み生環き第270号"
"202404","ｐｉｐｐｏ","107-0061","東京都港区北青山三丁目1番6号","316青山401","2024/4/2","5港み生環き第256号"
"202404","ＴＨＥ　ＣＨＡＩＮＯＮ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山五丁目10番13号","デコパージュビル南青山1階","2024/4/2","5港み生環き第261号"
"202404","Ｐｕｌｃｈｒａ　Ｒｏｐｐｏｎｇｉ","106-0032","東京都港区六本木四丁目10番10号","正直家ビル6階","2024/4/5","6港み生環き第1号"
"202404","ＨＥＹ　ＪＵ　ＢＥＡＵＴＹ　ＳＴＵＤＩＯ","107-0062","東京都港区南青山三丁目8番13号","ガーデン南青山1階","2024/4/9","5港み生環き第273号"
"202404","ｃｌａｉｒ","107-0052","東京都港区赤坂六丁目13番19号","オリエント赤坂503","2024/4/10","6港み生環き第3号"
"202404","美風　ＢｉＦＵ－ｂｙ１ｃａｒａｔ","107-0052","東京都港区赤坂三丁目16番7号","NREG赤坂ビル1階","2024/4/15","6港み生環き第8号"
"202404","ＴＡＫＡＮＡＷＡネイル","108-0074","東京都港区高輪四丁目19番4号","昌栄マンション3D","2024/4/15","6港み生環き第4号"
"202404","サロンド・リオン","106-0044","東京都港区東麻布一丁目14番11号","Hepta-T 302号室","2024/4/22","6港み生環き第5号"
"202404","Ｌｕｍｉｅｒｅ　ＡＯＹＡＭＡ","107-0062","東京都港区南青山一丁目14番4号","春日マンション2階","2024/4/30","6港み生環き第18号"
"202404","ｍａｒｌｅｅ","107-0062","東京都港区南青山五丁目11番10号","THE SALONS青山店1階A区画","2024/4/30","6港み生環き第13号"
"202404","Ｆｌａｍｍｅ　Ｒｏｕｇｅ","106-0047","東京都港区南麻布五丁目14番14号","HIROO23 2階","2024/4/30","5港み生環き第272号"
"202405","ＥＩＬ　ｂｅａｕｔｙ　ＴＲＵＮＫ","107-0062","東京都港区南青山五丁目12番27号","wise512　201号室","2024/5/2","6港み生環き第10号"
"202405","ＦＢｅａｕｔｙ青山","107-0061","東京都港区北青山三丁目9番2号","AQUAビル3階","2024/5/7","6港み生環き第17号"
"202405","Ｋａｎｇｅｎ　Ｂｉｙｏｕ　Ｒｈｙｔｈｍ　Ｍｉｎａｍｉａｏｙａｍａ","107-0062","東京都港区南青山二丁目27番6号","Reve南青山4階b","2024/5/7","6港み生環き第14号"
"202405","Ｍｅｎ’ｓ　ｅｙｅｂｒｏｗ　ｓａｌｏｎ　Ｍａｇ","105-0004","東京都港区新橋一丁目8番6号","近江ビル 6階","2024/5/20","6港み生環き第24号"
"202405","Ｌｅ′ａ","106-0046","東京都港区元麻布三丁目12番1号","アベストコート4階","2024/5/20","6港み生環き第27号"
"202405","Ｂｌｏｏｍ　ｂｙ　ＴＨＬＥＥ","106-0044","東京都港区東麻布二丁目29番8号","協電ビル8階","2024/5/24","5港み生環き第277号"
"202405","Ｔｉａｒａ　ｏｍｏｔｅｓａｎｄｏ","107-0061","東京都港区北青山三丁目5番17号","R&M801","2024/5/29","6港み生環き第15号"
"202405","Ｐａｉｒｉｎｇ　ｎａｉｌ　＆　ｅｙｅｌａｓｈ","107-0061","東京都港区北青山三丁目12番7号","カプリース青山803","2024/5/29","6港み生環き第33号"
"202405","アトリエはるか　エチカ表参道店","107-0061","東京都港区北青山三丁目6番12号","表参道駅構内 地下1階","2024/5/31","6港み生環き第29号"
"202406","アトリエはるか　六本木ヒルズ店","106-0032","東京都港区六本木六丁目10番3号","六本木けやき坂通り 2階","2024/6/5","6港み生環き第30号"
"202406","ｓａｌｏｎ　てまり","107-0052","東京都港区赤坂七丁目6番43号","赤坂チェリーマンション301","2024/6/6","6港み生環き第38号"
