空地の確保に対する容積率の緩和(%),緑化率,増減値(%)
50,３５%未満,-2
50,３５%以上４０%未満,0
50,４０%以上４５%未満,1
50,４５%以上,2
50,４９%以上,3
100,３５%未満,-4
100,３５%以上４０%未満,0
100,４０%以上４５%未満,2
100,４５%以上,4
100,４９%以上,6
150,３５%未満,-6
150,３５%以上４０%未満,0
150,４０%以上４５%未満,3
150,４５%以上,6
150,４９%以上,9
200,３５%未満,-10
200,３５%以上４０%未満,0
200,４０%以上４５%未満,5
200,４５%以上,10
200,４９%以上,15
250,３５%未満,-12
250,３５%以上４０%未満,0
250,４０%以上４５%未満,6
250,４５%以上,12
250,４９%以上,18
300,３５%未満,-14
300,３５%以上,0
