地区の位置,空地等の確保に対して緩和する容積率の限度（%）,育成用途割合の設定
中枢広域拠点域／国際ビジネス交流ゾーン／ア　中核的な拠点地区,300,空地等の確保に対して緩和する容積率の1／2以上は、育成用途とする。
中枢広域拠点域／国際ビジネス交流ゾーン／イ　中核的な拠点周辺地区,250,200％までの部分は、1／2以上を育成用途とする。200%を超える部分も育成用途とする。
中枢広域拠点域／国際ビジネス交流ゾーン／ウ　活力とにぎわいの拠点地区群,250,200％までの部分は、1／2以上を育成用途とする。200%を超える部分も育成用途とする。
中枢広域拠点域／国際ビジネス交流ゾーン／エ　活力とにぎわいの拠点地区,250,200%までの部分は、1／5以上を育成用途とする230%を超える部分も育成用途とする。
中枢広域拠点域／国際ビジネス交流ゾーン／オ　その他のゾーン内,250,200%を超える部分は育成用途とする。
中枢広域拠点域／カ　中核的な拠点地区,300,空地等の確保に対して緩和する容積率の1／2以上は、育成用途とする。
中枢広域拠点域／キ　中核的な拠点周辺地区,200,空地等の確保に対して緩和する容積率の1／2以上は、育成用途とする。
中枢広域拠点域／ク　活力とにぎわいの拠点地区,250,空地等の確保に対して緩和する容積率の1／5以上は、育成用途とする。
中枢広域拠点域／ケ　その他の域内,200,－
区部／コ　住宅重点地区等,200,－
区部／サ　「防災都市づくり推進計画」の整備地域及び重点整備地域又は防災街区整備方針に定める防災再開発促進地区,200,－
中枢広域拠点域外／シ　中核的な拠点地区,300,空地等の確保に対して緩和する容積率の1／2以上は、育成用途とする。
中枢広域拠点域外／ス　中核的な拠点周辺地区,200／250,空地等の確保に対して緩和する容積率の1／2以上は、育成用途とする。
中枢広域拠点域外／セ　地域の拠点地区,200／250,空地等の確保に対して緩和する容積率の1／5以上は、育成用途とする。
中枢広域拠点域外／ソ　枢要な地域の拠点地区,250,空地等の確保に対して緩和する容積率の1／5以上は、育成用途とする。
中枢広域拠点域外／タ　その他の区域,300,－
