地域階層,地域コード,地域,平成22年1月1日現在人口,平成21年中の動き／人口増減,平成21年中の動き／社会増減／増減,平成21年中の動き／社会増減／転入,平成21年中の動き／社会増減／転出,平成21年中の動き／都内間の移動増減,平成21年中の動き／自然増減／増減,平成21年中の動き／自然増減／出生数,平成21年中の動き／自然増減／死亡数,平成21年中の動き／その他の増減,面積(km2),人口密度(1km2当たり）,平成21年1月1日現在人口 
0,13000,総数,12991242,84176,54537,412219,357682,890,9236,107856,98620,19513,2187.65,5938,12907066
1,13100,区部,8803182,60187,38567,302826,264259,559,5963,73555,67592,15098,621.98,14153,8742995
1,13200,市部,4101744,24189,16022,108010,91988,-146,3939,33728,29789,4374,783.93,5232,4077555
2,13300,郡部,58629,52,-38,625,663,556,-473,370,843,7,375.96,156,58577
2,13350,島部,27687,-252,-14,758,772,-79,-193,203,396,34,405.78,68,27939
1,13100,区部,8803182,60187,38567,302826,264259,559,5963,73555,67592,15098,621.98,14153,8742995
4,13101,千代田区,45651,1028,765,2561,1796,245,34,387,353,-16,11.64,3922,44623
4,13102,中央区,116193,3201,2025,6409,4384,580,549,1332,783,47,10.18,11414,112992
4,13103,港区,214823,2156,1868,8625,6757,-437,1034,2403,1369,-309,20.34,10562,212667
4,13104,新宿区,317719,2763,1959,13398,11439,-1420,-111,2232,2343,2335,18.23,17428,314956
4,13105,文京区,199718,1474,1736,7979,6243,-712,111,1534,1423,339,11.31,17659,198244
4,13106,台東区,174433,2373,1517,6180,4663,173,-658,1200,1858,1341,10.08,17305,172060
4,13107,墨田区,244982,3143,2083,8039,5956,463,-77,2038,2115,674,13.75,17817,241839
4,13108,江東区,458617,11265,3802,15179,11377,4446,969,4442,3473,2048,39.94,11483,447352
4,13109,品川区,362535,3216,2178,13884,11706,361,388,3167,2779,289,22.72,15957,359319
4,13110,目黒区,268615,-135,337,9813,9476,-915,350,2091,1741,93,14.7,18273,268750
4,13111,大田区,683357,3175,1751,25121,23370,-86,248,5806,5558,1262,59.46,11493,680182
4,13112,世田谷区,863850,1873,1962,30312,28350,-1617,1249,7047,5798,279,58.08,14873,861977
4,13113,渋谷区,202880,-769,1849,8279,6430,-1939,232,1667,1435,-911,15.11,13427,203649
4,13114,中野区,313804,90,1349,12063,10714,-1779,23,2330,2307,497,15.59,20129,313714
4,13115,杉並区,540342,1163,2821,19106,16285,-2262,72,3989,3917,532,34.02,15883,539179
4,13116,豊島区,261907,2587,2430,10658,8228,259,-376,1796,2172,274,13.01,20131,259320
4,13117,北区,334327,171,361,10610,10249,-423,-766,2396,3162,999,20.59,16237,334156
4,13118,荒川区,202343,2498,1539,5884,4345,1404,-256,1580,1836,-189,10.2,19838,199845
4,13119,板橋区,536700,3171,954,17106,16152,539,182,4391,4209,1496,32.17,16683,533529
4,13120,練馬区,713125,3527,1466,22174,20708,525,1129,6020,4891,407,48.16,14807,709598
4,13121,足立区,643996,6877,2199,17456,15257,3995,115,5653,5538,568,53.2,12105,637119
4,13122,葛飾区,432214,1975,701,11111,10410,358,-141,3703,3844,1057,34.84,12406,430239
4,13123,江戸川区,671051,3365,915,20879,19964,-1199,1663,6351,4688,1986,49.86,13459,667686
1,13200,市部,4101744,24189,16022,108010,91988,-146,3939,33728,29789,4374,783.93,5232,4077555
4,13201,八王子市,576140,4443,2792,14660,11868,601,269,4405,4136,781,186.31,3092,571697
4,13202,立川市,177812,875,790,4628,3838,-275,131,1469,1338,229,24.38,7293,176937
4,13203,武蔵野市,139110,441,600,4393,3793,-428,-8,1011,1019,277,10.73,12965,138669
4,13204,三鷹市,182901,1169,950,5323,4373,-250,367,1588,1221,102,16.5,11085,181732
4,13205,青梅市,141231,-105,10,1852,1842,399,-502,1062,1564,-12,103.26,1368,141336
4,13206,府中市,253523,3045,2618,8707,6089,-891,761,2334,1573,557,29.34,8641,250478
4,13207,昭島市,112040,488,196,1995,1799,73,99,948,849,120,17.33,6465,111552
4,13208,調布市,224053,1940,963,6914,5951,69,653,2048,1395,255,21.53,10407,222113
4,13209,町田市,419793,2884,2361,14349,11988,148,324,3338,3014,51,71.63,5861,416909
4,13210,小金井市,116086,618,489,3678,3189,-185,167,943,776,147,11.33,10246,115468
4,13211,小平市,187068,576,529,5163,4634,-585,318,1619,1301,314,20.46,9143,186492
4,13212,日野市,181074,803,660,4197,3537,-359,274,1500,1226,228,27.53,6577,180271
