地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成21年中の出生数
4,13219,狛江市,55,49,59,51,38,53,53,47,49,45,49,60,608
4,13220,東大和市,69,76,58,53,59,54,67,54,67,78,60,56,751
4,13221,清瀬市,62,45,45,35,49,51,46,45,52,40,40,41,551
4,13222,東久留米市,87,70,72,75,54,76,79,75,74,79,73,73,887
4,13223,武蔵村山市,55,51,62,51,49,61,58,56,49,54,49,57,652
4,13224,多摩市,90,88,89,98,114,100,100,100,89,89,91,116,1164
4,13225,稲城市,62,62,74,73,52,65,61,58,52,63,67,78,767
4,13227,羽村市,45,44,38,49,45,37,48,47,35,42,49,41,520
4,13228,あきる野市,70,59,62,48,56,51,56,48,62,52,50,55,669
4,13229,西東京市,187,135,131,123,120,142,128,115,141,114,146,131,1613
1,13550,町村部,57,39,40,55,50,55,44,45,35,50,53,50,573
2,13300,郡部,43,25,21,34,33,34,31,27,22,30,34,36,370
4,13303,瑞穂町,23,17,16,20,18,21,20,14,16,13,18,29,225
4,13305,日の出町,16,5,3,10,13,9,7,12,5,15,16,7,118
4,13307,檜原村,2,1,1,1,1,3,2,1,0,1,0,0,13
4,13308,奥多摩町,2,2,1,3,1,1,2,0,1,1,0,0,14
2,13350,島部,14,14,19,21,17,21,13,18,13,20,19,14,203
3,13360,大島支庁,7,6,8,8,9,8,4,10,6,11,11,6,94
4,13361,大島町,5,4,5,4,6,3,2,7,2,10,8,3,59
4,13362,利島村,0,0,0,1,0,1,0,0,0,0,2,0,4
4,13363,新島村,0,2,1,1,1,3,1,1,1,0,1,3,15
4,13364,神津島村,2,0,2,2,2,1,1,2,3,1,0,0,16
3,13380,三宅支庁,0,2,3,3,2,4,0,1,0,5,2,0,22
4,13381,三宅村,0,2,3,3,1,4,0,1,0,4,1,0,19
4,13382,御蔵島村,0,0,0,0,1,0,0,0,0,1,1,0,3
3,13400,八丈支庁,3,2,5,7,5,5,6,3,5,4,4,6,55
4,13401,八丈町,3,2,5,7,5,5,6,3,5,4,4,6,55
4,13402,青ヶ島村,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13420,小笠原支庁,4,4,3,3,1,4,3,4,2,0,2,2,32
4,13421,小笠原村,4,4,3,3,1,4,3,4,2,0,2,2,32
,,,,,,,,,,,,,,,
人口の動き（平成21年中）,,,,,,,,,,,,,,,
第13表　区市町村別、月別出生数,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
