年度,Fiscal year,系統,Line,旅客営業キロ Passenger rail length(km),駅数 Stations,旅客延千人キロ Total passenger-kilometers in thousands／総数 Total,旅客延千人キロ Total passenger-kilometers in thousands／定期 Commuter Pass,旅客延千人キロ Total passenger-kilometers in thousands／普通 Tickets
平成28,2016,総数,Total,185.1,172,20077008,12651607,7425401
平成29,2017,総数,Total,185.1,172,20581105,12981596,7599509
平成30,2018,総数,Total,185.1,172,21040031,13268508,7771523
令和元,2019,総数,Total,185,172,21149916,13447371,7702545
令和2,2020,総数,Total,185,173,14121359,9333841,4787518
令和2,2020,銀座線,Ginza Line,14.2,19,852714,491539,361175
令和2,2020,丸ノ内線,Marunouchi Line,27.4,28,1685310,1064913,620397
令和2,2020,日比谷線,Hibiya Line,20.3,22,1627053,1033639,593414
令和2,2020,東西線,Tozai Line,22.2,17,2503351,1733147,770204
令和2,2020,千代田線,Chiyoda Line,24,20,2364706,1654334,710372
令和2,2020,有楽町線,Yurakucho Line,26.9,23,2051819,1415203,636616
令和2,2020,半蔵門線,Hanzomon Line,16.8,14,1287194,785562,501632
令和2,2020,南北線 ,Namboku Line,21.3,19,875241,597717,277524
令和2,2020,副都心線,Fukutoshin Line,11.9,11,873971,557787,316184
,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 4　運輸 4　TRANSPORT ,,,,,,,,
4-14  地下鉄の運輸成績 (1)  東京地下鉄株式会社 (平成28～令和2年度）4-14 OPERATIONS OF SUBWAYS  (1)  TOKYO METRO CO.， LTD. ( Fiscal Years 2016-2020 ),,,,,,,,
資料：東京地下鉄株式会社鉄道本部営業部審査課 Source: Tokyo Metro Co.， Ltd.　,,,,,,,,
