年次,Year,階層コード,地域コード,地域,District,総数 Total,中国 China,韓国 Rep. of Korea,ベトナム Vietnam,フィリピン Philippines ,ネパール Nepal,台湾 Taiwan,アメリカ U.S.A.,イ ン ド India,ミャンマー Myanmar,タイ Thailand,その他 Others
平成29,2017,0,13000,東京都,Tokyo-to,486346,185883,88755,27762,30761,22660,17281,16939,10354,8249,7651,70051
平成30,2018,0,13000,東京都,Tokyo-to,521500,199949,90438,32334,32089,26157,18568,17578,11153,9719,7958,75557
平成31,2019,0,13000,東京都,Tokyo-to,551683,213767,92418,36227,33219,27290,19726,18508,12130,10395,8101,79902
令和2,2020,0,13000,東京都,Tokyo-to,577329,231196,93595,38227,33818,26150,20998,19129,13689,10056,8071,82400
令和3,2021,0,13000,東京都,Tokyo-to,546436,219636,87590,36636,33214,24572,18675,18173,13378,9345,7666,77551
令和3,2021,1,13100,区部,All ku,456873,188005,74369,28350,24754,21174,16054,14901,12413,8663,6206,61984
令和3,2021,3,13101,千代田区,Chiyoda-ku,3057,1367,486,74,55,33,179,200,72,9,37,545
令和3,2021,3,13102,中央区,Chuo-ku,8291,3705,1481,185,128,98,439,437,271,39,87,1421
令和3,2021,3,13103,港区,Minato-ku,18718,4079,3241,148,979,83,724,2777,550,61,173,5903
令和3,2021,3,13104,新宿区,Shinjuku-ku,37827,13615,9276,2522,740,2403,1650,913,241,1523,629,4315
令和3,2021,3,13105,文京区,Bunkyo-ku,10333,4851,1583,748,213,257,482,308,104,278,187,1322
令和3,2021,3,13106,台東区,Taito-ku,14788,6741,2860,732,734,417,475,293,675,102,338,1421
令和3,2021,3,13107,墨田区,Sumida-ku,12431,5901,1870,624,1257,266,411,215,118,78,374,1317
令和3,2021,3,13108,江東区,Koto-ku,30392,15258,4486,1072,1613,616,710,503,2495,439,354,2846
令和3,2021,3,13109,品川区,Shinagawa-ku,13342,4644,2411,601,805,679,682,603,300,271,177,2169
令和3,2021,3,13110,目黒区,Meguro-ku,9195,1896,1462,194,541,243,478,1025,184,47,171,2954
令和3,2021,3,13111,大田区,Ota-ku,24122,8376,3322,1942,2511,2222,983,606,323,276,449,3112
令和3,2021,3,13112,世田谷区,Setagaya-ku,22164,6334,4215,893,926,472,1057,1825,560,175,264,5443
令和3,2021,3,13113,渋谷区,Shibuya-ku,10577,2189,1652,277,306,196,552,1420,195,41,139,3610
令和3,2021,3,13114,中野区,Nakano-ku,17809,6815,2801,1621,525,1745,832,487,118,402,238,2225
令和3,2021,3,13115,杉並区,Suginami-ku,16735,5682,2491,1391,545,2127,853,726,93,199,217,2411
令和3,2021,3,13116,豊島区,Toshima-ku,26458,12414,2339,2688,549,2388,1114,412,161,1735,253,2405
令和3,2021,3,13117,北区,Kita-ku,22271,11087,2326,1935,824,1218,564,248,194,921,204,2750
令和3,2021,3,13118,荒川区,Arakawa-ku,18264,7466,4605,1745,537,1091,371,183,127,478,148,1513
令和3,2021,3,13119,板橋区,Itabashi-ku,27254,14436,3141,1731,1563,1261,969,372,122,399,344,2916
令和3,2021,3,13120,練馬区,Nerima-ku,20128,8822,4074,954,1164,768,751,522,129,215,258,2471
令和3,2021,3,13121,足立区,Adachi-ku,33606,15060,7092,2101,3712,538,644,314,155,265,452,3273
令和3,2021,3,13122,葛飾区,Katsushika-ku,22363,11671,3022,1393,1591,896,444,193,118,258,257,2520
令和3,2021,3,13123,江戸川区,Edogawa-ku,36748,15596,4133,2779,2936,1157,690,319,5108,452,456,3122
令和3,2021,1,13200,市部,All shi,88306,31485,13070,8085,8177,3389,2605,3207,961,671,1412,15244
令和3,2021,3,13201,八王子市,Hachioji-shi,13137,5213,1758,1217,1329,477,312,301,149,96,157,2128
令和3,2021,3,13202,立川市,Tachikawa-shi,4650,1959,749,381,398,203,114,145,43,38,45,575
令和3,2021,3,13203,武蔵野市,Musashino-shi,3223,1132,517,139,103,178,184,229,43,15,42,641
令和3,2021,3,13204,三鷹市,Mitaka-shi,3673,1155,656,197,170,81,204,306,60,21,56,767
令和3,2021,3,13205,青梅市,Ome-shi,1986,346,198,328,454,36,77,57,6,14,59,411
令和3,2021,3,13206,府中市,Fuchu-shi,5312,1793,787,381,548,93,193,270,40,44,85,1078
令和3,2021,3,13207,昭島市,Akishima-shi,2755,695,476,341,403,262,47,61,49,41,28,352
令和3,2021,3,13208,調布市,Chofu-shi,4550,1594,977,305,320,95,180,164,48,43,88,736
令和3,2021,3,13209,町田市,Machida-shi,7090,2725,986,582,614,132,174,252,97,40,109,1379
令和3,2021,3,13210,小金井市,Koganei-shi,2815,1169,275,201,144,140,83,202,22,20,57,502
令和3,2021,3,13211,小平市,Kodaira-shi,5091,1832,1010,326,273,140,145,109,34,24,92,1106
令和3,2021,3,13212,日野市,Hino-shi,3367,1298,496,411,310,111,63,94,31,30,61,462
令和3,2021,3,13213,東村山市,Higashimurayama-shi,2999,1224,425,183,271,171,72,45,8,28,52,520
令和3,2021,3,13214,国分寺市,Kokubunji-shi,2567,1198,370,129,107,192,85,78,33,18,24,333
令和3,2021,3,13215,国立市,Kunitachi-shi,1761,686,317,141,81,88,66,71,17,15,19,260
令和3,2021,3,13218,福生市,Fussa-shi,3621,596,199,890,375,491,84,108,82,29,115,652
令和3,2021,3,13219,狛江市,Komae-shi,1359,450,206,98,123,88,39,51,16,12,36,240
令和3,2021,3,13220,東大和市,Higashiyamato-shi,1201,358,201,83,248,20,22,26,-,8,24,211
令和3,2021,3,13221,清瀬市,Kiyose-shi,1335,507,151,96,212,42,29,31,6,6,25,230
令和3,2021,3,13222,東久留米市,Higashikurume-shi,2265,742,310,169,253,61,52,206,64,14,40,354
令和3,2021,3,13223,武蔵村山市,Musashimurayama-shi,1783,593,138,371,362,36,21,29,2,4,27,200
令和3,2021,3,13224,多摩市,Tama-shi,2755,1169,520,198,220,77,71,68,40,41,37,314
令和3,2021,3,13225,稲城市,Inagi-shi,1451,451,259,100,155,32,35,37,25,3,24,330
令和3,2021,3,13227,羽村市,Hamura-shi,1472,204,84,230,251,42,19,50,14,1,18,559
令和3,2021,3,13228,あきる野市,Akiruno-shi,1038,153,110,238,147,10,22,60,2,20,27,249
令和3,2021,3,13229,西東京市,Nishitokyo-shi,5050,2243,895,350,306,91,212,157,30,46,65,655
令和3,2021,1,13300,郡部,All gun,966,135,75,176,221,9,14,50,4,5,39,238
令和3,2021,3,13303,瑞穂町,Mizuho-machi,788,114,54,153,191,8,9,28,4,3,32,192
令和3,2021,3,13305,日の出町,Hinode-machi,120,15,13,17,21,1,5,18,-,-,6,24
