地域階層,地域コード,項番 Item number,地域,District,総数 Total／棟数 Number,総数 Total／床面積の合計 Total floor space,総数 Total／工事費予定額 Estimated construction cost,木造 Wooden／棟数 Number,木造 Wooden／床面積の合計 Total floor space,木造 Wooden／工事費予定額 Estimated building cost,鉄骨鉄筋コンクリート造 Steel reinforced concrete／棟数 Number,鉄骨鉄筋コンクリート造 Steel reinforced concrete／床面積の合計 Total floor space,鉄骨鉄筋コンクリート造 Steel reinforced concrete／工事費予定額 Estimated building cost,鉄筋コンクリート造 Reinforced concrete／棟数 Number,鉄筋コンクリート造 Reinforced concrete／床面積の合計 Total floor space,鉄筋コンクリート造 Reinforced concrete／工事費予定額 Estimated building cost,鉄骨造 Steel-frame／棟数 Number,鉄骨造 Steel-frame／床面積の合計 Total floor space,鉄骨造 Steel-frame／工事費予定額 Estimated building cost,コンクリートブロック造 Concrete-block／棟数 Number,コンクリートブロック造 Concrete-block／床面積の合計 Total floor space,コンクリートブロック造 Concrete-block／工事費予定額 Estimated building cost,その他 Others／棟数 Number,その他 Others／床面積の合計 Total floor space,その他 Others／工事費予定額 Estimated building cost
0,13000,,総数,Tokyo-to,44049,12046826,362159413,32877,3692695,65634298,64,148035,6702844,2755,4632319,159767480,7953,3533442,129336303,10,265,3415,390,40070,715073
1,13100,,区部,All ku,27090,9196490,297519098,18706,2162696,39288641,57,121402,5391643,2466,4093521,143321876,5566,2782776,108870507,7,170,2268,288,35925,644163
3,13101,1,千代田区,Chiyoda-ku,195,219186,9016430,44,6624,49114,3,4778,210219,43,133201,5293561,95,73184,3432564,-,-,-,10,1399,30972
3,13102,2,中央区,Chuo-ku,148,423344,15452331,12,1377,16103,3,14439,x,52,256522,7740871,79,150978,7082161,-,-,-,2,28,x
3,13103,3,港区,Minato-ku,348,1057457,49296411,59,8529,156116,5,23561,1703019,128,256680,11131823,149,767437,36295253,-,-,-,7,1250,10200
3,13104,4,新宿区,Shinjuku-ku,669,271867,10462701,371,41988,755030,3,3383,235074,123,130320,4504392,172,96176,4968205,-,-,-,-,-,-
3,13105,5,文京区,Bunkyo-ku,542,267668,10196642,335,38453,684324,3,14330,820130,89,151922,5907212,112,62885,2784496,-,-,-,3,78,480
3,13106,6,台東区,Taito-ku,433,367211,12021451,154,15006,318246,1,248,x,137,290776,9498167,138,60991,2196438,-,-,-,3,190,x
3,13107,7,墨田区,Sumida-ku,748,317520,10207948,435,44242,751435,5,6517,231000,138,204357,7055049,163,62141,2167921,-,-,-,7,263,2543
3,13108,8,江東区,Koto-ku,1417,470049,13159547,506,55294,978478,3,11768,426460,136,215674,7433014,693,172269,4231858,-,-,-,79,15044,89737
3,13109,9,品川区,Shinagawa-ku,1144,455610,15448360,610,68128,1281889,6,4272,131950,144,245330,10144947,368,134924,3781036,-,-,-,16,2956,108538
3,13110,10,目黒区,Meguro-ku,746,195244,5610506,497,70192,1199126,1,422,x,89,83837,3114564,148,40409,1278634,-,-,-,11,384,x
3,13111,11,大田区,Ota-ku,2214,539170,15512048,1594,177869,3578529,-,-,-,197,209513,6768753,417,151669,5163451,1,13,x,5,106,x
3,13112,12,世田谷区,Setagaya-ku,3109,679771,17471335,2400,299441,5964036,5,4978,125530,221,234183,7301103,480,141054,4079016,1,61,x,2,54,x
3,13113,13,渋谷区,Shibuya-ku,538,392361,17752289,191,28291,526863,3,2096,73500,135,259480,11472333,204,101219,5669193,-,-,-,5,1275,10400
3,13114,14,中野区,Nakano-ku,1002,364412,13366305,734,84125,1496270,-,-,-,101,177165,6166095,164,103060,5703630,-,-,-,3,62,310
3,13115,15,杉並区,Suginami-ku,2135,377719,9415062,1760,194122,3499549,3,2191,115400,98,108447,3678744,258,72670,2119340,-,-,-,16,289,2029
3,13116,16,豊島区,Toshima-ku,802,331028,10857946,539,59451,1202091,2,16004,x,93,169839,x,168,85734,3500936,-,-,-,-,-,-
3,13117,17,北区,Kita-ku,1008,281468,8089899,709,76623,1270361,-,-,-,100,158397,5417515,199,46448,1402023,-,-,-,-,-,-
3,13118,18,荒川区,Arakawa-ku,614,166690,4864348,433,48133,851357,2,4703,x,75,85779,2956443,100,27998,915310,1,11,x,3,66,160
3,13119,19,板橋区,Itabashi-ku,1404,362763,9446669,996,117869,2092198,3,54,1200,101,147001,4418463,287,97469,2932866,4,85,340,13,285,1602
3,13120,20,練馬区,Nerima-ku,2437,468052,11579230,1974,215241,3772461,2,94,x,87,171895,5593103,337,80006,2206525,-,-,-,37,816,x
3,13121,21,足立区,Adachi-ku,2347,482705,11442039,1838,218854,3780633,2,3645,x,90,161197,4987576,384,98355,2549993,-,-,-,33,654,x
3,13122,22,葛飾区,Katsushika-ku,1460,314886,7724710,1201,136482,2347225,1,3475,x,48,120332,3763351,199,54385,1491014,-,-,-,11,212,x
3,13123,23,江戸川区,Edogawa-ku,1630,390309,9124891,1314,156362,2717207,1,444,x,41,121674,x,252,101315,2918644,-,-,-,22,10514,371162
1,13200,,市部,All shi,16610,2793296,63277391,13904,1500057,25805311,7,26633,1311201,267,525574,15925443,2327,736792,20163379,3,95,1147,102,4145,70910
3,13201,1,八王子市,Hachioji-shi,1977,350412,7480207,1554,172820,2925655,-,-,-,36,60281,1939820,379,117109,2612010,-,-,-,8,202,2722
3,13202,2,立川市,Tachikawa-shi,729,132128,3293234,559,61033,1027356,-,-,-,21,35635,1392950,149,35460,872928,-,-,-,-,-,-
3,13203,3,武蔵野市,Musashino-shi,401,94797,2349283,287,36697,640274,-,-,-,14,30052,1020150,90,27822,687364,-,-,-,10,226,1495
3,13204,4,三鷹市,Mitaka-shi,775,104519,2335854,638,67773,1249026,-,-,-,14,14950,503931,123,21796,582897,-,-,-,-,-,-
3,13205,5,青梅市,Ome-shi,497,134461,2848573,415,49704,813282,-,-,-,3,4501,x,68,79979,1866604,1,59,x,10,218,2327
3,13206,6,府中市,Fuchu-shi,940,181053,4850970,767,79065,1386146,-,-,-,18,56601,2408848,130,44722,1049876,-,-,-,25,665,6100
3,13207,7,昭島市,Akishima-shi,503,143805,3878566,371,40354,647592,-,-,-,11,48383,x,120,55055,2044718,-,-,-,1,13,x
3,13208,8,調布市,Chofu-shi,897,167903,4139595,749,76388,1450093,1,16686,x,23,46404,1372603,117,28285,666449,-,-,-,7,140,x
3,13209,9,町田市,Machida-shi,1686,291269,6561925,1363,159437,2753960,2,175,x,42,72938,2301258,270,58433,1502167,-,-,-,9,286,x
