地域階層,地域コード,地域,District,他府県との移動 Inter-prefecture migration／社会増減 Net social increase/decrease,他府県との移動 Inter-prefecture migration／転入 In-migration,他府県との移動 Inter-prefecture migration／転出 Out-migration,都内間の移動増減数 Net migration within Tokyo
0,13000,総数,Tokyo-to,29618,431175,401557,-562
1,13100,区部,All ku,18766,332097,313331,-7517
3,13101,千代田区,Chiyoda-ku,748,2959,2211,94
3,13102,中央区,Chuo-ku,825,6583,5758,12
3,13103,港区,Minato-ku,250,8848,8598,-2436
3,13104,新宿区,Shinjuku-ku,573,15737,15164,-3201
3,13105,文京区,Bunkyo-ku,1010,8437,7427,-849
3,13106,台東区,Taito-ku,952,8445,7493,459
3,13107,墨田区,Sumida-ku,1346,10398,9052,-692
3,13108,江東区,Koto-ku,2006,17313,15307,2619
3,13109,品川区,Shinagawa-ku,2709,16259,13550,1251
3,13110,目黒区,Meguro-ku,293,10192,9899,-913
3,13111,大田区,Ota-ku,1535,28026,26491,-982
3,13112,世田谷区,Setagaya-ku,1316,30136,28820,162
3,13113,渋谷区,Shibuya-ku,663,8180,7517,-99
3,13114,中野区,Nakano-ku,1684,13562,11878,-974
3,13115,杉並区,Suginami-ku,2361,19153,16792,-2365
3,13116,豊島区,Toshima-ku,261,12453,12192,-1977
3,13117,北区,Kita-ku,-287,13411,13698,612
3,13118,荒川区,Arakawa-ku,26,6787,6761,-130
3,13119,板橋区,Itabashi-ku,438,19534,19096,263
3,13120,練馬区,Nerima-ku,1060,22501,21441,990
3,13121,足立区,Adachi-ku,361,19741,19380,1678
3,13122,葛飾区,Katsushika-ku,221,12840,12619,416
3,13123,江戸川区,Edogawa-ku,-1585,20602,22187,-1455
1,13200,市部,All shi,11005,97804,86799,6729
3,13201,八王子市,Hachioji-shi,1289,12884,11595,388
3,13202,立川市,Tachikawa-shi,461,4385,3924,445
3,13203,武蔵野市,Musashino-shi,718,4287,3569,-142
3,13204,三鷹市,Mitaka-shi,829,5048,4219,952
3,13205,青梅市,Ome-shi,-88,1589,1677,182
3,13206,府中市,Fuchu-shi,1207,6658,5451,-938
3,13207,昭島市,Akishima-shi,220,2028,1808,461
3,13208,調布市,Chofu-shi,543,6175,5632,292
3,13209,町田市,Machida-shi,1484,11970,10486,216
3,13210,小金井市,Koganei-shi,724,3841,3117,695
3,13211,小平市,Kodaira-shi,591,4638,4047,579
3,13212,日野市,Hino-shi,439,4028,3589,383
3,13213,東村山市,Higashimurayama-shi,55,2982,2927,928
3,13214,国分寺市,Kokubunji-shi,929,3732,2803,689
3,13215,国立市,Kunitachi-shi,343,2090,1747,-120
3,13218,福生市,Fussa-shi,-18,1158,1176,-344
3,13219,狛江市,Komae-shi,137,2299,2162,-53
3,13220,東大和市,Higashiyamato-shi,-32,1051,1083,303
3,13221,清瀬市,Kiyose-shi,295,1860,1565,418
3,13222,東久留米市,Higashikurume-shi,20,2192,2172,662
3,13223,武蔵村山市,Musashimurayama-shi,-162,906,1068,-50
3,13224,多摩市,Tama-shi,450,3088,2638,-217
3,13225,稲城市,Inagi-shi,389,2540,2151,241
3,13227,羽村市,Hamura-shi,-145,790,935,-363
3,13228,あきる野市,Akiruno-shi,-48,813,861,81
3,13229,西東京市,Nishitokyo-shi,375,4772,4397,1041
1,13300,郡部,All gun,-23,648,671,302
3,13303,瑞穂町,Mizuho-machi,-61,396,457,58
3,13305,日の出町,Hinode-machi,-14,162,176,134
3,13307,檜原村,Hinohara-mura,8,20,12,44
3,13308,奥多摩町,Okutama-machi,44,70,26,66
1,13350,島部,All islands,-130,626,756,-76
2,13360,大島支庁,Oshima-shicho,-93,229,322,-30
3,13361,大島町,Oshima-machi,-48,147,195,-15
3,13362,利島村,Toshima-mura,-15,11,26,7
3,13363,新島村,Niijima-mura,-9,35,44,-24
3,13364,神津島村,Kozushima-mura,-21,36,57,2
2,13380,三宅支庁,Miyake-shicho,4,80,76,-16
3,13381,三宅村,Miyake-mura,5,70,65,-11
3,13382,御蔵島村,Mikurajima-mura,-1,10,11,-5
2,13400,八丈支庁,Hachijo-shicho,-10,170,180,-17
3,13401,八丈町,Hachijo-machi,-11,160,171,-14
3,13402,青ヶ島村,Aogashima-mura,1,10,9,-3
2,13420,小笠原支庁,Ogasawara-shicho,-31,147,178,-13
3,13421,小笠原村,Ogasawara-mura,-31,147,178,-13
,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,
2-6  地域別移動人口（令和2年中） 2-6  POPULATION MIGRATION BY DISTRICT ( 2020 ),,,,,,,
この表は住民基本台帳による届出時点の数字である。,,,,,,,
Data refer to numbers reported on the Basic Resident Registers during the stated year. ,,,,,,,
資料：都総務局統計部人口統計課 「人口の動き-「東京都の人口（推計)」年報-」 Source: Bureau of General Affairs， TMG,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:各支庁　3:区市町村),,,,,,,
