年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female
0,総数,Total,121219,63512,57707
2,0～9,0-9,218,112,106
3,0,0,135,65,70
3,1,1,14,9,5
3,2,2,11,9,2
3,3,3,15,8,7
3,4,4,14,8,6
3,5,5,12,6,6
3,6,6,4,3,1
3,7,7,6,2,4
3,8,8,3,1,2
3,9,9,4,1,3
2,10～19,10--19,157,90,67
3,10,10,7,4,3
3,11,11,7,1,6
3,12,12,13,8,5
3,13,13,16,10,6
3,14,14,4,3,1
3,15,15,13,6,7
3,16,16,19,12,7
3,17,17,18,7,11
3,18,18,24,11,13
3,19,19,36,28,8
2,20～29,20-29,504,313,191
3,20,20,27,18,9
3,21,21,47,34,13
3,22,22,54,33,21
3,23,23,55,38,17
3,24,24,54,33,21
3,25,25,47,22,25
3,26,26,47,29,18
3,27,27,62,40,22
3,28,28,55,33,22
3,29,29,56,33,23
2,30～39,30-39,788,495,293
3,30,30,47,33,14
3,31,31,58,32,26
3,32,32,66,40,26
3,33,33,61,37,24
3,34,34,79,52,27
3,35,35,78,57,21
3,36,36,96,58,38
3,37,37,108,64,44
3,38,38,94,60,34
3,39,39,101,62,39
2,40～49,40-49,2374,1505,869
3,40,40,128,91,37
3,41,41,160,95,65
3,42,42,175,112,63
3,43,43,178,127,51
3,44,44,206,127,79
3,45,45,231,145,86
3,46,46,288,187,101
3,47,47,282,172,110
3,48,48,343,210,133
3,49,49,383,239,144
2,50～59,50-59,5261,3505,1756
3,50,50,434,270,164
3,51,51,430,293,137
3,52,52,507,310,197
3,53,53,455,291,164
3,54,54,476,319,157
3,55,55,543,378,165
3,56,56,543,357,186
3,57,57,634,433,201
3,58,58,599,426,173
3,59,59,640,428,212
2,60～69,60-69,10282,7197,3085
3,60,60,654,452,202
3,61,61,772,524,248
3,62,62,821,589,232
3,63,63,817,567,250
3,64,64,883,616,267
3,65,65,925,650,275
3,66,66,1055,743,312
3,67,67,1216,860,356
3,68,68,1443,1028,415
3,69,69,1696,1168,528
2,70～79,70-79,26112,17208,8904
3,70,70,2011,1429,582
3,71,71,2311,1582,729
3,72,72,2628,1827,801
3,73,73,2405,1620,785
3,74,74,1876,1256,620
3,75,75,2225,1495,730
3,76,76,2936,1948,988
3,77,77,2965,1891,1074
3,78,78,3314,2071,1243
3,79,79,3441,2089,1352
2,80～89,80-89,43470,22921,20549
3,80,80,3452,2072,1380
3,81,81,3408,2035,1373
3,82,82,3917,2265,1652
3,83,83,4240,2395,1845
3,84,84,4595,2531,2064
3,85,85,4751,2521,2230
3,86,86,4623,2336,2287
3,87,87,4862,2374,2488
3,88,88,4945,2314,2631
3,89,89,4677,2078,2599
2,90～99,90-99,29551,9810,19741
3,90,90,4538,1846,2692
3,91,91,4360,1675,2685
3,92,92,3894,1479,2415
3,93,93,3773,1348,2425
3,94,94,3380,1100,2280
3,95,95,2786,830,1956
3,96,96,2256,585,1671
3,97,97,1851,416,1435
3,98,98,1561,320,1241
3,99,99,1152,211,941
2,100～109,100-109,2497,356,2141
3,100,100,831,129,702
3,101,101,571,93,478
3,102,102,379,53,326
3,103,103,281,28,253
3,104,104,177,33,144
3,105,105,114,10,104
3,106,106,76,5,71
3,107,107,30,1,29
3,108,108,27,2,25
3,109,109,11,2,9
2,110～113,110-113,4,-,4
3,110,110,1,-,1
3,111,111,2,-,2
3,112,112,1,-,1
3,113,113,-,-,-
3,114～,114- and over,-,-,-
3,不詳,Unknown age,1,-,1
1,（再掲) 0～14,(relisted) 0-14,265,138,127
1,（再掲) 15～64,(relisted) 15-64,12984,8630,4354
1,（再掲) 65～ 1),(relisted) 65 and over 1),107970,54744,53226
,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,
2-7  人口動態  (4) 年齢，男女別死亡者数（令和2年） 2-7  VITAL STATISTICS  (4) DEATHS BY SINGLE YEARS OF AGE AND GENDER ( 2020 ),,,,,
「人口動態調査」 による。 数字は日本における日本人に関するもので， その年に発生し， 翌年1月末 （明治34年～大正11年及び昭和19年～46年はその年に発生し翌年3月末） までに届け出のあったものを， 昭和24年以前は発生地， 昭和25年以降は住所地により表章した。,,,,,
Data are based on the Vital Statistics Survey. Figures are only for Japanese nationals in Japan. Occurrences during the year stated that had been reported by the end of the following January (by the end of March for 1901-1922 and 1944-1971) are tabulated up to 1949 by place of occurrence， and from 1950 by place of residence. ,,,,,
注 1) （再掲）の「65～」は不詳分を含む。,,,,,
"Note: 1) In the ""relisted"" section， figures for ages 65 and up include those of unknown age.",,,,,
資料：都福祉保健局総務部総務課 Source: Bureau of Social Welfare and Public Health， TMG,,,,,
年齢階層（0:総数　1:再掲　2:年齢区分　3:各年齢）,,,,,
