地域階層,地区コード,項番 Item number,地域,District,総数 All manufacturing／事業所数 Establishments,総数 All manufacturing／従業者数 Employees,総数 All manufacturing／現金給与総額 Total cash wages,総数 All manufacturing／原材料使用額等 Value of raw materials used， etc.,総数 All manufacturing／製造品出荷額等 Shipment value of manufactured goods， etc.,総数 All manufacturing／粗付加価値額 Gross value added,事業所数 Establishments／食料品 Food,事業所数 Establishments／飲料・たばこ・飼料 Beverages， tobacco and feed,事業所数 Establishments／繊維工業 Textiles,事業所数 Establishments／木材・木製品(家具を除く) Lumber and wood products， except furniture,事業所数 Establishments／家具・装備品 Furniture and fixtures,事業所数 Establishments／パルプ・紙・紙加工品 Pulp， paper and paper products,事業所数 Establishments／印刷・同関連業 Printing and allied industries,事業所数 Establishments／化学工業 Chemicals,事業所数 Establishments／石油・石炭製品 Petroleum and coal products,事業所数 Establishments／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,事業所数 Establishments／ゴム製品 Rubber products,事業所数 Establishments／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,事業所数 Establishments／窯業・土石製品 Ceramic， stone and clay products,事業所数 Establishments／鉄鋼業 Iron and steel,事業所数 Establishments／非鉄金属 Non-ferrous metals and products,事業所数 Establishments／金属製品 Fabricated metal products,事業所数 Establishments／はん用機械器具 General-purpose machinery,事業所数 Establishments／生産用機械器具 Production machinery,事業所数 Establishments／業務用機械器具 Business use machinery,事業所数 Establishments／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,事業所数 Establishments／電気機械器具 Electrical machinery， equipment and supplies,事業所数 Establishments／情報通信機械器具 Information and communications equipment,事業所数 Establishments／輸送用機械器具 Transportation equipment,事業所数 Establishments／その他 Others,従業者数 Persons engaged／食料品 Food,従業者数 Persons engaged／飲料・たばこ・飼料 Beverages， tobacco and feed,従業者数 Persons engaged／繊維工業 Textiles,従業者数 Persons engaged／木材・木製品(家具を除く) Lumber and wood products， except furniture,従業者数 Persons engaged／家具・装備品 Furniture and fixtures,従業者数 Persons engaged／パルプ・紙・紙加工品 Pulp， paper and paper products,従業者数 Persons engaged／印刷・同関連業 Printing and allied industries,従業者数 Persons engaged／化学工業 Chemicals,従業者数 Persons engaged／石油・石炭製品 Petroleum and coal products,従業者数 Persons engaged／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,従業者数 Persons engaged／ゴム製品 Rubber products,従業者数 Persons engaged／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,従業者数 Persons engaged／窯業・土石製品 Ceramic， stone and clay products,従業者数 Persons engaged／鉄鋼業 Iron and steel,従業者数 Persons engaged／非鉄金属 Non-ferrous metals and products,従業者数 Persons engaged／金属製品 Fabricated metal products,従業者数 Persons engaged／はん用機械器具 General-purpose machinery,従業者数 Persons engaged／生産用機械器具 Production machinery,従業者数 Persons engaged／業務用機械器具 Business use machinery,従業者数 Persons engaged／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,従業者数 Persons engaged／電気機械器具 Electrical machinery， equipment and supplies,従業者数 Persons engaged／情報通信機械器具 Information and communications equipment,従業者数 Persons engaged／輸送用機械器具 Transportation equipment,従業者数 Persons engaged／その他 Others,製造品出荷額等 Value of manufactured goods shipments， etc.／食料品 Food,製造品出荷額等 Value of manufactured goods shipments， etc.／飲料・たばこ・飼料 Beverages， tobacco and feed,製造品出荷額等 Value of manufactured goods shipments， etc.／繊維工業 Textiles,製造品出荷額等 Value of manufactured goods shipments， etc.／木材・木製品(家具を除く) Lumber and wood products， except furniture,製造品出荷額等 Value of manufactured goods shipments， etc.／家具・装備品 Furniture and fixtures,製造品出荷額等 Value of manufactured goods shipments， etc.／パルプ・紙・紙加工品 Pulp， paper and paper products,製造品出荷額等 Value of manufactured goods shipments， etc.／印刷・同関連業 Printing and allied industries,製造品出荷額等 Value of manufactured goods shipments， etc.／化学工業 Chemicals,製造品出荷額等 Value of manufactured goods shipments， etc.／石油・石炭製品 Petroleum and coal products,製造品出荷額等 Value of manufactured goods shipments， etc.／プラスチック製品(別掲を除く) Plastic products， except otherwise classified,製造品出荷額等 Value of manufactured goods shipments， etc.／ゴム製品 Rubber products,製造品出荷額等 Value of manufactured goods shipments， etc.／なめし革・同製品・毛皮 Tanned leather， leather products and fur skins,製造品出荷額等 Value of manufactured goods shipments， etc.／窯業・土石製品 Ceramic， stone and clay products,製造品出荷額等 Value of manufactured goods shipments， etc.／鉄鋼業 Iron and steel,製造品出荷額等 Value of manufactured goods shipments， etc.／非鉄金属 Non-ferrous metals and products,製造品出荷額等 Value of manufactured goods shipments， etc.／金属製品 Fabricated metal products,製造品出荷額等 Value of manufactured goods shipments， etc.／はん用機械器具 General-purpose machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／生産用機械器具 Production machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／業務用機械器具 Business use machinery,製造品出荷額等 Value of manufactured goods shipments， etc.／電子部品・デバイス・電子回路 Electronic parts， devices and electronic circuits,製造品出荷額等 Value of manufactured goods shipments， etc.／電気機械器具 Electrical machinery， equipment and supplies,製造品出荷額等 Value of manufactured goods shipments， etc.／情報通信機械器具 Information and communications equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／輸送用機械器具 Transportation equipment,製造品出荷額等 Value of manufactured goods shipments， etc.／その他 Others
0,13000,,総数,Tokyo-to　,9887,245851,119096804,403046338,716075539,292876065,681,40,365,55,202,371,1698,199,16,578,184,208,181,102,118,1392,336,943,488,246,570,113,267,534,29400,1175,4148,555,3236,5635,41599,10713,318,7779,2470,3376,3643,2681,2461,17552,7392,16754,13083,9760,23903,8092,20539,9587,72992771,10319286,5447129,1076579,11801718,13743655,74249300,38297039,2994518,11894736,3414440,6137543,15957274,16461995,14635261,27244632,18120550,39130753,30401621,32547606,77400301,47766683,120874578,23165571
1,13100,,区部,All ku,7450,134553,60828104,155749907,292750069,127703786,455,16,319,42,153,326,1533,153,8,439,176,207,119,80,86,1116,244,647,308,79,318,39,157,430,12319,250,3356,439,1624,4597,36325,8702,200,5445,2123,3367,2324,2064,1258,13121,3616,9618,6815,1321,5481,1346,2742,6100,28839274,x,4622019,946248,3011646,11544112,63770652,31413936,1636652,8242986,3005668,x,10316356,12684070,6114691,20742050,8169533,19582000,17046479,2138322,10435856,x,5150956,14013016
2,13101,1,千代田区,Chiyoda-ku,82,2074,966351,2202054,4211110,1857616,-,-,3,-,-,4,66,-,-,1,-,-,-,-,-,1,-,1,1,-,1,1,-,3,-,-,39,-,-,25,1903,-,-,8,-,-,-,-,-,6,-,5,25,-,9,7,-,47,-,-,21530,-,-,17647,3982763,-,-,x,-,-,-,-,-,x,-,x,x,-,x,x,-,78000
2,13102,2,中央区,Chuo-ku,106,1909,901337,1608784,3238608,1508486,17,-,7,-,-,3,66,1,-,1,-,-,-,-,-,1,-,2,1,1,1,-,-,5,231,-,63,-,-,23,1430,6,-,20,-,-,-,-,-,10,-,12,29,10,6,-,-,69,364580,-,80863,-,-,25793,2497976,x,-,x,-,-,-,-,-,x,-,x,x,x,x,-,-,165267
2,13103,3,港区,Minato-ku,80,1197,579157,1502134,2667558,1079198,8,1,3,-,3,-,45,-,-,1,1,-,4,-,-,3,2,4,-,-,2,-,-,3,218,9,32,-,25,-,663,-,-,7,10,-,79,-,-,18,34,46,-,-,28,-,-,28,193636,x,25489,-,36650,-,1085576,-,-,x,x,-,955370,-,-,12892,x,116543,-,-,x,-,-,49727
2,13104,4,新宿区,Shinjuku-ku,224,5054,2487537,5186560,10125240,4572316,10,2,9,-,2,14,154,2,-,3,-,-,-,-,-,7,-,1,4,2,3,3,-,8,137,35,71,-,8,218,4115,19,-,42,-,-,-,-,-,69,-,4,112,15,32,111,-,66,204776,x,53560,-,x,470023,8466032,x,-,73763,-,-,-,-,-,61559,-,x,276108,x,70968,218588,-,111674
2,13105,5,文京区,Bunkyo-ku,209,4747,2372859,4830339,9268679,4103943,6,-,6,3,1,3,137,3,-,4,1,1,2,-,-,3,-,2,18,-,3,-,-,16,108,-,74,26,7,12,3672,32,-,43,4,61,14,-,-,19,-,8,479,-,45,-,-,143,x,-,90994,32928,x,9229,6836297,91832,-,75363,x,x,x,-,-,13354,-,x,1256273,-,69783,-,-,211489
2,13106,6,台東区,Taito-ku,337,3547,1349319,3278061,6007949,2523312,26,-,30,4,8,29,68,3,-,8,5,54,3,-,2,27,-,2,5,-,5,1,4,53,423,-,264,30,108,266,737,24,-,70,32,599,16,-,11,191,-,27,70,-,46,11,24,598,522650,-,446991,17392,184576,345037,1210710,51593,-,56921,54188,1386808,10364,-,x,166207,-,x,104136,-,70565,x,30966,1268955
2,13107,7,墨田区,Sumida-ku,645,12109,5908718,13484160,29516246,14888083,31,4,52,2,12,40,105,17,1,32,43,48,8,6,4,122,12,32,7,3,8,1,7,48,440,78,510,11,86,452,1995,3286,13,434,508,762,336,224,40,1176,195,492,345,34,79,9,89,515,844892,107564,1268296,x,129076,627703,3055177,12490375,x,590642,759319,1539623,645074,1715054,100524,1750784,567976,721156,1176372,88706,170039,x,134479,936296
2,13108,8,江東区,Koto-ku,452,8783,3980202,13578987,26545003,12029294,43,1,16,20,13,28,147,8,2,16,6,2,24,12,6,44,6,21,5,-,10,2,7,13,1614,7,124,253,216,296,3159,529,43,258,57,15,392,281,155,408,60,325,121,-,174,29,139,128,4308191,x,310082,734742,573639,377263,6333332,3417129,x,635630,93570,x,2752973,1727148,1268331,680758,97245,1180420,294667,-,344552,x,335032,223982
2,13109,9,品川区,Shinagawa-ku,327,5429,2561502,5307201,10630324,4952404,17,1,2,1,1,7,51,6,-,32,4,1,4,1,5,43,20,58,16,9,26,1,12,9,301,6,24,4,20,66,683,400,-,433,45,6,56,10,49,500,362,868,340,127,498,6,530,95,495310,x,x,x,x,103080,948969,1295478,-,734550,71880,x,164423,x,66121,889015,882168,1766938,604947,238935,950930,x,1121354,224715
2,13110,10,目黒区,Meguro-ku,118,2447,1155405,2574891,4830157,2114161,17,-,3,-,2,3,5,5,-,6,-,-,1,-,2,14,11,13,6,5,11,3,3,8,496,-,14,-,42,14,52,79,-,44,-,-,21,-,27,170,180,295,184,68,333,63,35,330,857548,-,17367,-,x,10192,71540,182255,-,42702,-,-,x,-,x,379311,302233,572865,241850,184668,560579,103845,41601,947539
