年次,Year,集計人数(比重調整後) Number of respondents(weighted adjusted ) 1),インターネット利用率 Internet use rate／電子メールの送受信 Sending and receiving email,インターネット利用率 Internet use rate／ホームページやブログの閲覧，書き込み，または開設・更新 Browsing/posting， or creating/updating websites or blogs,インターネット利用率 Internet use rate／ソーシャルネットワーキングサービスの利用 Using social networking services,インターネット利用率 Internet use rate／業務目的でのオンライン会議システムの利用 Using online meeting systems for work purpose,インターネット利用率 Internet use rate／動画投稿・共有サイトの利用（ＹｏｕＴｕｂｅ、ニコニコ動画など） Using sites to upload and share videos（YouTube， Niconico， etc.）,インターネット利用率 Internet use rate／オンラインゲームの利用 Using online games,インターネット利用率 Internet use rate／情報検索（天気情報，ニュースサイト，地図・交通情報などの利用） Information search (weather information， news sites， maps and traffic information， etc.),インターネット利用率 Internet use rate／eラーニング Using e-learning,インターネット利用率 Internet use rate／商品・サービスの購入・取引（計） Purchasing/selling goods or services(Total),インターネット利用率 Internet use rate／電子政府・電子自治体の利用（電子申請，電子申告，電子届出） Using e-Gov and local e-government systems (electronic application， filing， and notification)
令和2,2020,4178,83.1,64.1,74.6,27.2,57.1,29.5,80.1,21.2,66.3,14.3
,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 ) 5　通信・情報 5  COMMUNICATION AND INFORMATION,,,,,,,,,,,,
5-5  インターネットの利用状況 (令和2年) 5-5 INTERNET USE  ( 2020 ),,,,,,,,,,,,
注１） 調査における回収率が，都道府県，世帯主の年齢により異なり，母集団と多少乖離してしまうため，集計人数について比重調整を行っている。,,,,,,,,,,,,
Note: 1) Because response rates varied by prefecture of residence and by age of the heads of households， results were weighted to properly represent the population.,,,,,,,,,,,,
資料：総務省情報流通行政局「通信利用動向調査」 Source: Ministry of Internal Affairs and Communications,,,,,,,,,,,,
(単位　パーセント) (In percent),,,,,,,,,,,,
