年次,Year,区分階層,項番 Item number,種類,Kind,受理 Received／総数 Total,受理 Received／旧受 Previously received,受理 Received／新受 Newly received,既済 Disposed／総数 Total,既済 Disposed／認容 Granted,既済 Disposed／却下 Rejected,既済 Disposed／取下 Withdrawn,既済 Disposed／その他 Others,未済 Pending
平成31･令和元,2019,0,,総数,Total,105505,7202,98303,97426,93281,484,2294,1367,8079
令和2,2020,0,,総数,Total,106232,8077,98155,97560,93613,476,2294,1177,8672
令和2,2020,1,,別表第一審判事件総数,Total number of cases of adjudication of domestic relations stipulated in Appended Table 1 of the Domestic Relations Case Procedure Act,102827,6943,95884,95522,92586,284,1929,723,7305
令和2,2020,2,1,後見開始の審判及びその取消し,Adjudication on commencement of guardianship and rescission of such adjudication,3711,345,3366,3401,3256,17,39,89,310
令和2,2020,2,2,保佐開始の審判・取消しなど,Adjudication on commencement of curatorship， rescission of such adjudication， etc.,2191,227,1964,1911,1708,21,145,37,280
令和2,2020,2,3,補助開始の審判・取消しなど,Adjudication on commencement of assistance， rescission of such adjudication， etc.,1072,100,972,930,823,12,73,22,142
令和2,2020,2,4,後見人等の選任,Appointment of a guardian， etc.,1622,71,1551,1549,1510,7,16,16,73
令和2,2020,3,,うち成年後見人の選任,(of which) Appointment of a guardian of an adult,500,25,475,472,453,3,12,4,28
令和2,2020,3,,うち成年後見監督人の選任,(of which) Appointment of a supervisor for the guardian of an adult,599,5,594,595,591,-,-,4,4
令和2,2020,3,,うち保佐人の選任,(of which) Appointment of a curator,99,11,88,87,78,2,2,5,12
令和2,2020,3,,うち保佐監督人の選任,(of which) Appointment of a supervisor for a curator,166,4,162,160,158,-,1,1,6
令和2,2020,3,,うち補助人の選任,(of which) Appointment of an assistant,30,4,26,27,26,-,-,1,3
令和2,2020,3,,うち補助監督人の選任,(of which) Appointment of a supervisor for the assistant,53,1,52,52,52,-,-,-,1
令和2,2020,3,,うち未成年後見人の選任,(of which) Appointment of a guardian of a minor,151,20,131,132,129,1,1,1,19
