年次及び種類,Year and kind,月次,Month,製造工業 Manufacturing,製造工業 Manufacturing／鉄鋼業 Iron and steel,製造工業 Manufacturing／非鉄金属工業 Non-ferrous metals,製造工業 Manufacturing／金属製品工業 Fabricated metals,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／汎用機械工業 General-purpose machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／生産用機械工業 Production machinery,製造工業 Manufacturing／汎用・生産用・業務用機械工業 General-purpose， production and business use machinery／業務用機械工業 Business use machinery,製造工業 Manufacturing／電子部品・デバイス工業 Electronic parts and devices,製造工業 Manufacturing／電気機械工業 Electrical machinery,製造工業 Manufacturing／情報通信機械工業 Information and communications equipment,製造工業 Manufacturing／輸送機械工業 Transport equipment,製造工業 Manufacturing／窯業・土石製品工業 Ceramics， stone and clay products,製造工業 Manufacturing／化学工業 Chemicals,製造工業 Manufacturing／プラスチック製品工業 Plastic products,製造工業 Manufacturing／紙・紙加工品工業 Paper and paper products,製造工業 Manufacturing／繊維工業 Textiles,製造工業 Manufacturing／食料品工業 Foods,製造工業 Manufacturing／印刷業 Printing,製造工業 Manufacturing／その他工業 Other manufacturing,製造工業 Manufacturing／その他工業 Other manufacturing／ゴム製品工業 Rubber products,製造工業 Manufacturing／その他工業 Other manufacturing／皮革製品工業 Leather products,製造工業 Manufacturing／その他工業 Other manufacturing／家具工業 Furniture,製造工業 Manufacturing／その他工業 Other manufacturing／木材・木製品工業 Wood and wood products,製造工業 Manufacturing／その他工業 Other manufacturing／その他製品工業 Other products
品目数,Items,,,145,10,7,4,23,7,10,6,6,22,7,7,11,9,3,3,5,9,4,15,2,2,2,2,7
ウェイト,Weight,,,10000,136.7,90.2,392.2,1526.9,283.6,665.4,577.9,270,1373.4,688.9,1140.1,266.7,1070.9,189.2,172.5,117,778.3,1301.1,485.9,35.4,35.8,162.3,36.5,215.9
平成27,2015,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
平成28,2016,,,95.3,98.6,98.9,97.9,98.7,97.9,106.9,89.6,107.2,91,96,95.4,95.5,90.8,86.5,101.1,100.8,99.1,95.3,88.4,104.2,97.2,86.7,89.3,85.5
平成29,2017,,,93.6,104.2,99.8,93,100.7,107.2,119.4,76,109.5,94.4,74.2,96.4,97.4,89.7,86,101.6,93.1,96.3,90.2,89.1,106.2,89.8,85.4,88.9,89
平成30,2018,,,94.9,106.2,101.9,79.6,96.6,111.2,115,68.2,98.2,96.2,87.2,101.5,99.9,94.2,95,102.6,90,104.6,87.1,90.1,97.2,83.5,93,84.3,88.9
平成31･令和元,2019,,,92.9,93.1,115.5,75.5,85.5,102.1,99.4,61.5,69.2,97.6,115.7,101.5,87.4,81,99.4,101.3,90.1,120.8,81,85.1,90.8,67.3,107.4,80.9,71.1
令和2,2020,,,80.4,74.3,104.3,77.8,78,94.6,99.7,44.8,68.2,89.1,86,77.3,71.7,65.2,95.3,103.2,76,111.3,75.1,59.2,90.6,46.5,78.3,45.5,44
令和2,2020,1,Jan.,89,78.8,107,77.3,74.5,103.7,74.2,55,75.6,93.9,130.9,94.4,74,73.7,96.4,99.5,101.4,119.9,80.3,82.6,95.8,60,93.5,62.5,77.2
令和2,2020,2,Feb.,89.3,80.6,104.4,78.8,81.6,97.3,101.7,53.2,69.2,89.8,120,101.7,71.8,73.7,89.9,107.4,96.1,118.1,77,78.7,93.2,55.9,98.9,46.8,68.8
令和2,2020,3,Mar.,84.3,80.3,102.9,76.3,72.1,94.7,83.9,50.4,65.7,90.1,102.7,90.9,76,72.2,90.1,105.3,75.5,125.4,75.1,62.2,89.1,51.9,71.6,45,48.9
令和2,2020,4,Apr.,80.8,75.1,104.5,68.1,88.5,102.7,121.9,46.2,68.3,83.4,102.7,68.7,65.5,67.7,103.7,104.8,70.8,104.7,73,64.9,86.6,47.6,92.7,46.1,46.6
令和2,2020,5,May,74.8,68.5,100.5,78.3,78.8,79,108.7,45.5,70.6,91.3,89.1,48.4,67.6,61.8,106.8,100.1,64.7,99.9,70.6,44.6,85.7,42.3,62.4,39.7,30.8
令和2,2020,6,June,76.5,69.4,103.5,82.8,78.1,85,104.2,43.6,67.3,82.7,92.9,51.8,70.1,56,117.9,99.7,51.9,110.1,74,53.8,78.5,41.3,75.9,43.1,37.8
令和2,2020,7,July,75.2,70,104.6,85.8,72.5,91.1,91.2,39.9,63.1,87.4,69.6,55.9,70.3,59.9,89.4,95.1,78.8,111.2,72.4,64.7,89.9,44.2,99.7,48.3,42.4
令和2,2020,8,Aug.,77.7,66.3,104.5,76.8,74.2,90.5,94.8,41.5,56.2,98.7,57.5,73.7,71.7,64.4,96.7,119,79.1,109.4,73.4,50.2,91.9,43,66.6,36,35
令和2,2020,9,Sept.,75.9,74.9,105.7,73,73.1,94.6,92.7,39.8,65.3,76.9,62.3,86.1,76.7,62.7,92,109.3,79.4,105.5,75.3,47.5,89.7,43.2,57,43.3,37.3
