年度末,End of fiscal year,地域コード,項番 Item number,地域,District,総額 Total value,行政財産 Administrative assets／総額 Total value,行政財産 Administrative assets／土地 Land／面積 Area(m2),行政財産 Administrative assets／土地 Land／価格 Value,行政財産 Administrative assets／建物 Buildings／延面積 Total floor space(m2),行政財産 Administrative assets／建物 Buildings／価格 Value,行政財産 Administrative assets／工作物 Structures,行政財産 Administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／総額 Total value,普通財産 Non-administrative assets／土地 Land／面積 Area(m2),普通財産 Non-administrative assets／土地 Land／価格 Value,普通財産 Non-administrative assets／建物 Buildings／延面積 Total floor space (m2),普通財産 Non-administrative assets／建物 Buildings／価格 Value,普通財産 Non-administrative assets／工作物 Structures,普通財産 Non-administrative assets／有価証券，出資金等 Securities and investments， etc.,普通財産 Non-administrative assets／不動産の信託の受益権 Real estate trust beneficiary rights
平成28,2016,13100,,区部,All ku,13471958,12655098,29638800,9863282,16254804,2647290,142793,1716,816860,2088295,600216,750334,117576,1205,72834,25028
平成29,2017,13100,,区部,All ku,14230479,13320858,29667357,10472120,16265714,2697180,149523,1784,909621,2111871,694172,744709,116463,1098,72856,25032
平成30,2018,13100,,区部,All ku,14392189,13428951,29728752,10477752,16399092,2784739,164247,1962,963238,2265628,751456,761120,112021,2299,72431,25032
令和元,2019,13100,,区部,All ku,15057359,14064391,29758571,11007176,16486345,2880286,174591,2338,992968,2356160,766271,768069,126592,2636,97469,…
令和2,2020,13100,,区部,All ku,15273919,14256848,29835852,11141846,16497702,2926480,184208,4315,1017071,2315186,778166,791967,139025,2584,97296,…
令和2,2020,13101,1,千代田区,Chiyoda-ku,6242,…,205342,…,320132,…,…,…,6242,27197,…,50342,…,…,6242,…
令和2,2020,13102,2,中央区,Chuo-ku,731604,660194,402446,469816,566123,182810,7278,290,71410,47546,62097,23896,7944,75,1294,…
令和2,2020,13103,3,港区,Minato-ku ,902503,869226,729468,673876,705457,191010,4329,10,33277,91036,30043,11923,2321,4,909,…
令和2,2020,13104,4,新宿区,Shinjuku-ku,951110,862559,964693,793017,576423,63491,6051,-,88551,92484,56368,55785,6160,137,25885,…
令和2,2020,13105,5,文京区,Bunkyo-ku,438514,407159,721955,334464,409850,70037,2659,-,31354,28875,23519,33443,7482,107,246,…
令和2,2020,13106,6,台東区,Taito-ku,250849,233977,407151,108629,451779,116354,8994,-,16872,33861,4791,19240,1159,56,10867,…
令和2,2020,13107,7,墨田区,Sumida-ku,259666,247455,581523,85083,524702,153062,9310,-,12210,174264,3582,13639,3222,2,5404,…
令和2,2020,13108,8,江東区,Koto-ku,633846,600515,1445790,418698,928152,173020,8789,8,33331,65315,18008,40630,10890,44,4389,…
令和2,2020,13109,9,品川区,Shinagawa-ku,921067,866957,1166235,679596,799130,177390,8426,1545,54110,93268,43401,34123,6464,5,4239,…
令和2,2020,13110,10,目黒区,Meguro-ku,517257,499379,752242,423233,515485,72040,4106,-,17878,65522,12356,11339,4760,7,755,…
令和2,2020,13111,11,大田区,Ota-ku,1032285,979084,2492341,872936,1216790,96954,9028,166,53201,160059,48971,44637,3090,39,1100,…
令和2,2020,13112,12,世田谷区,Setagaya-ku,1759472,1668858,2414168,1304454,1232628,334136,30267,-,90614,117530,70125,45879,16974,242,3273,…
令和2,2020,13113,13,渋谷区,Shibuya-ku ,1276794,1100613,507900,965346,476459,128065,5040,2161,176181,50853,142851,75816,27266,1199,4865,…
令和2,2020,13114,14,中野区,Nakano-ku,254174,221374,880928,133547,429749,87827,-,-,32801,145909,21442,50669,11312,-,47,…
令和2,2020,13115,15,杉並区,Suginami-ku,650229,598935,1581070,409266,798956,186212,3458,-,51294,352791,42963,60182,7196,26,1109,…
令和2,2020,13116,16,豊島区,Toshima-ku,606242,547340,669720,447183,415594,94848,5308,-,58902,99264,55171,18992,3114,12,606,…
令和2,2020,13117,17,北区,Kita-ku,579066,567222,1165554,459140,706714,100494,7588,-,11844,62629,11364,6678,225,38,217,…
令和2,2020,13118,18,荒川区,Arakawa-ku,170061,152605,554602,92219,434892,57084,3301,-,17457,79177,11637,14462,326,2,5492,…
令和2,2020,13119,19,板橋区,Itabashi-ku,307171,298158,1861444,213233,895070,80246,4679,-,9013,33090,7545,12252,78,0,1391,…
令和2,2020,13120,20,練馬区,Nerima-ku,949388,912517,2876217,747206,1130009,152652,12659,-,36872,94808,30997,41541,5317,16,542,…
令和2,2020,13121,21,足立区,Adachi-ku,995693,923418,3161190,674212,1134877,232573,16497,135,72275,209121,51187,20303,2682,264,18142,…
令和2,2020,13122,22,葛飾区,Katsushika-ku,455139,429573,1670820,346286,770010,67351,15935,-,25566,98146,18831,57338,6537,90,110,…
令和2,2020,13123,23,江戸川区,Edogawa-ku,625546,609732,2623053,490405,1058721,108824,10503,-,15814,92442,10917,48857,4506,219,173,…
,,,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和2年）TOKYO STATISTICAL YEARBOOK ( 2020 )　21  財政 21  PUBLIC FINANCE,,,,,,,,,,,,,,,,,,,,,
21-9  公有財産 (2) 区有 (平成28～令和2年度末) 21-9  PUBLIC ASSETS (2) ASSETS OWNED BY KU ( End of Fiscal Years 2016-2020 ) ,,,,,,,,,,,,,,,,,,,,,
注 1) 千代田区は区有財産現在額（価格）を固定資産台帳で管理し，公有財産台帳では現在高（数量）のみ管理しているため，価格は記載していない。そのため，総額及び普通財産の総額には，普通財産の有価証券，出資金等の金額のみを掲載している。,,,,,,,,,,,,,,,,,,,,,
2) 行政財産の有価証券，出資金等について，中央区は動産及び地上権を含む。港区は地上権を含む。品川区は地上権，地役権及び浮桟橋を含む。大田区は動産及び用益物権（地上権）を含む。渋谷区は温泉権及び無体財産権を含む。足立区は地役権及び地上権を含む。,,,,,,,,,,,,,,,,,,,,,
3）普通財産の有価証券，出資金等について，中央区は特許権を含む。港区は特許権等を含む。新宿区は不動産の信託の受益権を含む。大田区は無体財産を含む。 杉並区は地役権等及び特許権等を含む。豊島区は商標権を含む。北区は地上権を含む。荒川区は無体財産権を含む。板橋区は無体財産（著作権及び商標権）を含む。,,,,,,,,,,,,,,,,,,,,,
"Note: 1) For Chiyoda-ku， data on asset values are not entered because while current values of its assets are provided in the fixed asset register， only current quantities are recorded in the public asset ledger. Accordingly， the ""total value"" and ""total value of non-administrative assets"" show only the amount of ""securities and investments etc."" of non-administrative assets.",,,,,,,,,,,,,,,,,,,,,
"2) Regarding securities, investments, etc. under administrative assets, Chuo-ku includes movable assets and right of superficies. Minato-ku includes right of superficies. Shinagawa-ku includes right of superficies, easement, and floating piers. Ota-ku includes movable assets and usufructuary rights (right of superficies). Shibuya-ku includes hot spring rights and intangible asset rights. Adachi-ku includes easement and right of superficies. ",,,,,,,,,,,,,,,,,,,,,
"3) Regarding securities, and investments, etc. under non-administrative assets, Chuo-ku includes patent rights. Minato-ku includes patent rights, etc. Shinjuku-ku includes real estate trust beneficiary rights. Ota-ku includes intangible assets. Suginami-ku includes easement and patent rights, etc. Toshima-ku includes trademark rights. Kita-ku includes right of superficies. Arakawa-ku includes intangible asset rights. Itabashi-ku includes intangible assets (copyrights and trademark rights). ",,,,,,,,,,,,,,,,,,,,,
資料：公益財団法人特別区協議会事業部調査研究課 Source: Public Interest Foundation of Tokyo Metropolitan Area Cities,,,,,,,,,,,,,,,,,,,,,
（単位　金額　百万円）(Value in millions of yen),,,,,,,,,,,,,,,,,,,,,
