品目階層,品目,Item,平成30年 2018／数量 Quantity,平成30年 2018／金額 Value,平成31･令和元年 2019／数量 Quantity,平成31･令和元年 2019／金額 Value,令和2年 2020／数量 Quantity,令和2年 2020／金額 Value
0,総数,Total,1942026,580696885,1951158,545443174,1903655,560467083
1,野菜,Vegetables,1495440,388696477,1503623,356421977,1486183,369364363
2,根菜類,Root vegetables,236863,36434851,237192,29358963,232542,32197688
3,だいこん,Japanese radish,119393,12647384,118030,9648700,114890,10186091
3,かぶ,Turnip,14764,2099861,13373,1853852,13166,1834443
3,にんじん,Carrot,84493,13480618,87228,10003240,86758,12871081
3,ごぼう,Edible burdock,7709,2912353,8729,2520459,7830,2378274
3,れんこん,Lotus root,7941,3844886,7418,3780221,7365,3656296
3,その他,Others,2563,1449749,2414,1552493,2533,1271503
2,キャベツ類,Cabbage varieties,193673,20533013,198012,16303124,195354,19302306
2,レタス類,Lettuce varieties,96036,18024437,94057,17081496,90855,15209828
2,葉茎菜類,Leaf and stem vegetables,295140,91286576,298794,81286429,301357,84625226
3,はくさい,Chinese cabbage,126779,12004770,127428,7561223,127867,9592674
3,こまつな,"""Komatsuna""",13511,4445039,13522,4211691,14965,4478863
3,ほうれんそう,Spinach,14956,8103436,14404,7560105,15565,8214775
3,ねぎ,Welsh onion,51661,18847418,53039,16493987,52705,17464910
3,ブロッコリー,Broccoli,28114,11425424,31755,12328197,34052,13029624
3,その他,Others,60118,36460490,58645,33131225,56203,31844380
2,果菜類,Fruit vegetables,305692,118473982,307960,110836787,299100,117270620
3,きゅうり,Cucumber,76742,26316642,75392,23817679,75398,26673528
3,かぼちゃ,Pumpkin　,29600,6275921,32365,5492926,29052,5506969
3,なす,Eggplant,31308,12689609,30518,12085274,30059,12736724
3,トマト,Tomato,82726,30712962,80740,27715834,76486,28424913
3,ピーマン,Bell pepper,23653,11148896,24267,11061083,24905,13484973
3,その他,Others,61662,31329952,64678,30663991,63199,30443514
2,豆科野菜類,Legumes,13034,11585701,13347,11030250,12598,10704537
3,いんげん,String bean,3178,2862757,2975,2589989,2699,2389724
3,えだまめ,Green soybean,5217,4835338,5650,4565884,5020,4567113
3,その他,Others,4639,3887606,4721,3874377,4879,3747700
