町会・自治会名,一時集合場所,一時集合場所所在地,避難場所,避難所予定施設
両国一丁目町会,両国橋児童遊園前,墨田区両国一丁目11番2号,両国地区,両国小学校
両国二丁目町会,回向院境内,墨田区両国二丁目8番10号,両国地区,両国小学校
両国三丁目町会,両国小学校,墨田区両国四丁目26番6号,両国地区,両国小学校
両国三丁目町会,両国公園,墨田区両国四丁目25番3号,両国地区,両国小学校
両国四丁目町会,両国小学校,墨田区両国四丁目26番6号,両国地区,両国小学校
両国四丁目町会,両国公園,墨田区両国四丁目25番3号,両国地区,両国小学校
千歳一丁目町会,江島杉山神社境内,墨田区千歳一丁目8番2号,両国地区,両国小学校
千歳中央町会,千歳公園,墨田区千歳二丁目2番1号,両国地区,両国小学校
千歳三丁目町会,千歳公園,墨田区千歳二丁目2番1号,両国地区,両国小学校
緑一丁目町会,緑小学校,墨田区緑二丁目12番12号,両国地区,緑小学校
緑二丁目町会,緑小学校,墨田区緑二丁目12番12号,両国地区,緑小学校
緑三丁目町会,町会会館前,墨田区緑三丁目6番3号,両国地区,緑小学校
緑四丁目町会,大横川親水公園,墨田区撞木橋跡付近,両国地区,緑小学校
立川一丁目町会,五間堀公園,墨田区立川一丁目1番2号,両国地区,中和小学校
立川二丁目町会,中和公園,墨田区菊川一丁目18番25号,両国地区,中和小学校
立川三丁目町会,立川第二児童遊園,墨田区立川三丁目15番6号,両国地区,中和小学校
立川四丁目町会,菊川小学校,墨田区立川四丁目12番15号,猿江恩賜公園一帯,菊川小学校
菊川一丁目町会,中和公園,墨田区菊川一丁目18番25号,両国地区,中和小学校
菊川二丁目町会,中和公園,墨田区菊川一丁目18番25号,両国地区,中和小学校
菊川三丁目町会,菊川三丁目こども広場,墨田区菊川三丁目6番10号,猿江恩賜公園一帯,菊川小学校
江東橋一丁目町会,両国高校,墨田区江東橋一丁目7番14号,錦糸町地区（地区内残留地区）,菊川小学校
江東橋二丁目町会,江東橋公園,墨田区江東橋二丁目4番11号,錦糸町地区（地区内残留地区）,菊川小学校
江東橋三丁目町会,ウインズ錦糸町前,墨田区江東橋三丁目8番,錦糸町地区（地区内残留地区）,菊川小学校
江東橋四丁目町会,錦糸堀公園,墨田区江東橋四丁目17番1号,錦糸町地区（地区内残留地区）,錦糸小学校
都営江東橋四丁目アパート自治会,団地内,墨田区江東橋四丁目30番2号,錦糸町地区（地区内残留地区）,錦糸小学校
江東橋五丁目町会,両国高校,墨田区江東橋一丁目7番14号,猿江恩賜公園一帯,菊川小学校
横網町会,横網町公園,墨田区横網二丁目3番25号,両国地区,両国中学校
亀沢一丁目町会,横網町公園,墨田区横網二丁目3番25号,両国地区,二葉小学校
亀沢二丁目町会,緑町公園,墨田区亀沢二丁目7番7号,両国地区,二葉小学校
亀沢三丁目町会,日進公園,墨田区亀沢三丁目24番3号,両国地区,堅川中学校
亀沢四丁目町会,竪川中学校,墨田区亀沢四丁目11番15号,両国地区,堅川中学校
石原一丁目町会,横網町公園,墨田区横網二丁目3番25号,両国地区,両国中学校
石原二丁目町会,二葉小学校,墨田区石原二丁目1番5号,両国地区,二葉小学校
石原三丁目町会,町会会館前,墨田区石原三丁目28番10号,両国地区,錦糸中学校
石原四丁目町会,錦糸中学校,墨田区石原四丁目33番14号,両国地区,錦糸中学校
本所一丁目町会,本所地域プラザ,墨田区本所一丁目13番4号,両国地区,外手小学校
本所二丁目町会,外手小学校,墨田区本所二丁目1番16号,両国地区,外手小学校
本所二丁目町会,若宮公園,墨田区本所二丁目2番19号,両国地区,外手小学校
本所三丁目町会,外手小学校,墨田区本所二丁目1番16号,両国地区,外手小学校
本所三丁目町会,若宮公園,墨田区本所二丁目2番19号,両国地区,外手小学校
本所四丁目町会,もみじばし児童遊園,墨田区本所四丁目8番6号,墨田区役所・隅田公園自由広場一帯,横川小学校
東駒形一丁目町会,本所保健センター前,墨田区東駒形一丁目6番4号,墨田区役所・隅田公園自由広場一帯,外手小学校
東駒形二丁目町会,かしわ児童遊園,墨田区東駒形二丁目8番2号,墨田区役所・隅田公園自由広場一帯,本所中学校
東駒形三丁目町会,本所中学校,墨田区東駒形三丁目1番10号,墨田区役所・隅田公園自由広場一帯,本所中学校
東駒形四丁目町会,横川公園,墨田区東駒形四丁目18番21号,墨田区役所・隅田公園自由広場一帯,横川小学校
吾妻橋一丁目町会,吾妻橋会館前,墨田区吾妻橋一丁目23番27号,墨田区役所・隅田公園自由広場一帯,横川小学校
リバーピア吾妻橋ライフタワー自治会,団地前広場,墨田区吾妻橋一丁目23番,墨田区役所・隅田公園自由広場一帯,本所中学校
吾妻橋二丁目町会,吾妻橋会館前,墨田区吾妻橋一丁目23番27号,墨田区役所・隅田公園自由広場一帯,横川小学校
吾妻橋三丁目町会,しいのき児童遊園,墨田区吾妻橋三丁目9番4号,墨田区役所・隅田公園自由広場一帯,横川小学校
錦糸一丁目町会,錦糸小学校,墨田区錦糸一丁目9番12号,錦糸町地区（地区内残留地区）,錦糸小学校
錦糸町アルカファイブ自治会,大横川親水公園噴水前,墨田区錦糸一丁目1番,錦糸町地区（地区内残留地区）,錦糸小学校
錦糸町アルカハビタ自治会,大横川親水公園噴水前,墨田区錦糸一丁目1番,錦糸町地区（地区内残留地区）,錦糸小学校
錦糸三和町会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸町地区（地区内残留地区）,錦糸小学校
太平一丁目町会,町会会館前,墨田区太平一丁目23番3号,錦糸公園,錦糸小学校
太平一丁目町会,町会会館前,墨田区太平一丁目23番3号,錦糸公園,業平小学校
太平二丁目町会,錦糸小学校,墨田区錦糸一丁目9番12号,錦糸公園,錦糸小学校
太平二丁目町会,錦糸小学校,墨田区錦糸一丁目9番12号,錦糸公園,柳島小学校
太平三丁目町会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸公園,錦糸小学校
太平三丁目町会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸公園,柳島小学校
太平四丁目町会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸公園,錦糸小学校
太平四丁目町会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸公園,柳島小学校
横川一丁目町会,日本たばこ産業株式会社内,墨田区横川一丁目17番7号,錦糸公園,業平小学校
横川二丁目町会,日本たばこ産業株式会社内,墨田区横川一丁目17番7号,錦糸公園,業平小学校
横川三丁目町会,日本たばこ産業株式会社内,墨田区横川一丁目17番7号,錦糸公園,柳島小学校
横川四丁目町会,本所防災館前,墨田区横川四丁目6番6号,錦糸公園,柳島小学校
横川五丁目南部,柳島小学校,墨田区横川五丁目2番30号,錦糸公園,柳島小学校
横川五丁目旭町会,柳島小学校,墨田区横川五丁目2番30号,錦糸公園,柳島小学校
横川五丁目東部町会,横川さんかく公園,墨田区横川五丁目9番31号,錦糸公園,柳島小学校
横川五丁目北部町会,集会所前,墨田区横川五丁目10番1号,錦糸公園,柳島小学校
業平一丁目町会,町会会館前,墨田区業平一丁目2番9号,錦糸公園,業平小学校
業平橋住宅自治会,住宅内公園,墨田区業平一丁目6番3号,錦糸公園,業平小学校
業平二丁目南町会,業平公園,墨田区業平二丁目3番2号,錦糸公園,業平小学校
業平二丁目町会,押上天祖神社,墨田区業平二丁目13番6号,錦糸公園,業平小学校
業平三丁目南町会,業平公園,墨田区業平二丁目3番2号,錦糸公園,業平小学校
業平三丁目町会,町会防災器材置場前,墨田区業平三丁目11番4号,錦糸公園,業平小学校
業平四丁目南部町会,日信金属株式会社業平倉庫前,墨田区業平四丁目6番18号,錦糸公園,柳島小学校
業平四丁目町会,業平四丁目11番7号前区道,墨田区業平四丁目11番7号,錦糸公園,業平小学校
業平五丁目南町会,くるみ児童遊園,墨田区業平五丁目1番1号,錦糸公園,柳島小学校
業平五丁目北部町会,なりひらホーム前,墨田区業平五丁目6番2号,錦糸公園,柳島小学校
向島一丁目町会,隅田公園自由広場,墨田区向島一丁目3番,墨田区役所・隅田公園自由広場一帯,小梅小学校
向島二丁目睦町会,町会会館前,墨田区向島二丁目16番1号,墨田区役所・隅田公園自由広場一帯,小梅小学校
向島二・三町会,小梅小学校,墨田区向島二丁目4番10号,墨田区役所・隅田公園自由広場一帯,小梅小学校
向島三丁目町会,墨田中学校,墨田区向島四丁目25番22号,墨田区役所・隅田公園自由広場一帯,墨田中学校
向島四丁目南町会,墨田中学校,墨田区向島四丁目25番22号,墨田区役所・隅田公園自由広場一帯,墨田中学校
向島四丁目北町会,秋葉神社内,墨田区向島四丁目9番13号,墨田区役所・隅田公園自由広場一帯,言問小学校
向島五丁目西町会,隅田公園少年野球場,墨田区向島五丁目5番,墨田区役所・隅田公園自由広場一帯,言問小学校
向島五丁目東町会,言問小学校,墨田区向島五丁目40番14号,墨田区役所・隅田公園自由広場一帯,言問小学校
小梅一丁目町会,小梅児童遊園,墨田区向島一丁目33番3号,墨田区役所・隅田公園自由広場一帯,小梅小学校
小梅二丁目町会,町会会館前,墨田区向島三丁目33番7号,墨田区役所・隅田公園自由広場一帯,小梅小学校
小梅三丁目町会,町会会館前,墨田区向島三丁目35番7号,墨田区役所・隅田公園自由広場一帯,墨田中学校
東向島一丁目中町会,第一寺島小学校,墨田区東向島一丁目16番2号,白鬚東地区,第一寺島小学校
東向一南町会,第一寺島小学校,墨田区東向島一丁目16番2号,白鬚東地区,第一寺島小学校
曳舟中町会,ふじのき公園,墨田区東向島二丁目7番5号,白鬚東地区,第一寺島小学校
曳舟中町会,ふじのき公園,墨田区東向島二丁目7番5号,白鬚東地区,曳舟小学校
東向島二丁目睦町会,曳舟児童遊園,墨田区東向島二丁目25番7号,白鬚東地区,第一寺島小学校
東向島二丁目町会,東向島ふじ公園,墨田区東向島二丁目46番7号,白鬚東地区,第一寺島小学校
東向島二丁目町会,東向島ふじ公園,墨田区東向島二丁目46番7号,白鬚東地区,第三寺島小学校
東向島宮元町会,向島百花園前,墨田区東向島三丁目18番3号,白鬚東地区,第二寺島小学校
東向島町会,第二寺島小学校,墨田区東向島四丁目30番2号,白鬚東地区,第二寺島小学校
東向島六丁目第一町会,第三寺島小学校,墨田区東向島六丁目8番1号,白鬚東地区,第三寺島小学校
寺六中央町会,なつめ公園,墨田区東向島六丁目40番2号,白鬚東地区,第三寺島小学校
東向島親交町会,やまぶき児童遊園,墨田区東向島六丁目60番6号,荒川・四ツ木橋緑地,八広小学校
堤通一丁目町会,堤通公園,墨田区堤通一丁目8番1号,白鬚東地区,第一寺島小学校
堤通一丁目町会,堤通公園,墨田区堤通一丁目8番1号,白鬚東地区,第二寺島小学校
東白鬚第一マンション自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
白鬚東第二自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
堤通二丁目3・4自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
白鬚東水神自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
堤通自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
梅若橋自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
白鬚東第一自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
コーシャハイム白鬚東自治会,白鬚東地区防災拠点,墨田区堤通二丁目,白鬚東地区,桜堤中学校
寺七西町会,東向島集会所前,墨田区東向島四丁目8番12号,白鬚東地区,梅若小学校
墨田一丁目第2アパート自治会,白鬚公園,墨田区墨田一丁目4番42号,白鬚東地区,梅若小学校
梅若西町会,梅若小学校,墨田区墨田二丁目25番1号,白鬚東地区,梅若小学校
梅若町会,梅若小学校,墨田区墨田二丁目25番1号,白鬚東地区,梅若小学校
玉の井町会,こでまり児童遊園,墨田区東向島五丁目24番1号,白鬚東地区,第二寺島小学校
隅田西町会,かつら児童遊園,墨田区墨田三丁目36番13号,荒川・四ツ木橋緑地,隅田小学校
隅田中睦町会,隅田小学校,墨田区墨田四丁目6番5号,荒川・四ツ木橋緑地,隅田小学校
都営墨田四丁目自治会,都営墨田四丁目団地内公園,墨田区墨田四丁目22番,荒川・四ツ木橋緑地,隅田小学校
隅田町東町会,隅田東第二児童遊園,墨田区墨田四丁目34番20号,荒川・四ツ木橋緑地,隅田小学校
隅田中央町会,旧隅田小学校,墨田区墨田五丁目49番5号,白鬚東地区,旧隅田小学校
鐘ヶ淵町会,墨田五丁目運動広場,墨田区墨田五丁目16番,白鬚東地区,旧隅田小学校
押上一丁目町会,町会会館前,墨田区押上一丁目24番4号,都営文花一丁目住宅一帯,業平小学校
押上一丁目仲町会,町会会館前,墨田区押上一丁目15番1号,都営文花一丁目住宅一帯,墨田中学校
中之郷町会,中之郷児童遊園,墨田区押上二丁目12番1号,墨田区役所・隅田公園自由広場一帯,墨田中学校
押上二丁目町会,町会会館前,墨田区押上二丁目19番12号,墨田区役所・隅田公園自由広場一帯,墨田中学校
押上南町会,新あづま通り押上一丁目バス停前,墨田区押上一丁目32番先,都営文花一丁目住宅一帯,押上小学校
押上西和町会,町会会館前,墨田区押上一丁目17番5号,都営文花一丁目住宅一帯,押上小学校
押上三丁目伸成町会,押上小学校,墨田区押上三丁目46番17号,都営文花一丁目住宅一帯,押上小学校
押上文花町会,押上小学校,墨田区押上三丁目46番17号,都営文花一丁目住宅一帯,押上小学校
押上文花町会,文花公園,墨田区文花一丁目27番5号,都営文花一丁目住宅一帯,押上小学校
京一旭町会,京島西公園,墨田区京島一丁目22番3号,都営文花一丁目住宅一帯,曳舟小学校
曳舟駅前プラザ自治会,プラザ裏広場,墨田区京島一丁目38番,都営文花一丁目住宅一帯,曳舟小学校
京一曳舟町会,曳舟さくら公園,墨田区京島一丁目40番1号,都営文花一丁目住宅一帯,曳舟小学校
京一曳舟町会,曳舟小学校,墨田区京島一丁目28番2号,都営文花一丁目住宅一帯,曳舟小学校
京島二丁目町会,まちづくりコミュニティ広場,墨田区京島二丁目11番,都営文花一丁目住宅一帯,曳舟小学校
京島南町会,京島サービス工場前,墨田区京島二丁目9番3号,都営文花一丁目住宅一帯,曳舟小学校
京島南町会,曳舟小学校,墨田区京島一丁目28番2号,都営文花一丁目住宅一帯,曳舟小学校
京島南町会,京島三丁目防災広場,墨田区京島三丁目31番2号,都営文花一丁目住宅一帯,曳舟小学校
京島二丁目協和町会,京島南公園,墨田区京島二丁目20番17号,都営文花一丁目住宅一帯,第四吾嬬小学校
京島三丁目北町会,からたち児童遊園,墨田区京島三丁目10番19号,都営文花一丁目住宅一帯,第四吾嬬小学校
京島三丁目中央町会,京島まちづくり事業用地,墨田区京島三丁目37番,都営文花一丁目住宅一帯,第四吾嬬小学校
京島三丁目東町会,第四吾嬬小学校,墨田区京島三丁目64番9号,都営文花一丁目住宅一帯,第四吾嬬小学校
文花親交町会,あずま百樹園,墨田区文花一丁目19番4号,都営文花一丁目住宅一帯,文花中学校
文花団地自治会,文花公園,墨田区文花一丁目27番5号,都営文花一丁目住宅一帯,文花中学校
文花第二自治会,団地内公園,墨田区文花一丁目32番,都営文花一丁目住宅一帯,文花中学校
文花宮元町会,文花宮前橋公園,墨田区文花一丁目32番11号,都営文花一丁目住宅一帯,文花中学校
文花二丁目町会,宮元児童遊園,墨田区文花二丁目7番4号,都営文花一丁目住宅一帯,文花中学校
宮田町会,第四吾嬬小学校,墨田区京島三丁目64番9号,都営文花一丁目住宅一帯,第四吾嬬小学校
八広町会,八広小学校,墨田区八広五丁目12番15号,荒川・四ツ木橋緑地,寺島中学校
八広町会,寺島中学校,墨田区八広一丁目17番15号,荒川・四ツ木橋緑地,寺島中学校
長浦町会,けやき児童遊園,墨田区八広一丁目7番4号,荒川・四ツ木橋緑地,寺島中学校
八広一丁目南町会,寺島中学校,墨田区八広一丁目17番15号,荒川・四ツ木橋緑地,寺島中学校
八広三和里町会,三輪里稲荷神社,墨田区八広三丁目6番13号,荒川・四ツ木橋緑地,第三吾嬬小学校
八広北町会,町会会館前,墨田区八広二丁目11番5号,荒川・四ツ木橋緑地,第三吾嬬小学校
八広二丁目親和町会,第三吾嬬小学校,墨田区八広二丁目36番3号,荒川・四ツ木橋緑地,第三吾嬬小学校
八広二丁目南町会,舟原公園,墨田区八広二丁目43番16号,荒川・四ツ木橋緑地,第三吾嬬小学校
八広三丁目町会,八広三丁目防災広場,墨田区八広三丁目24番8号,荒川・四ツ木橋緑地,第三吾嬬小学校
八広あずま町会,八広地域プラザ,墨田区八広四丁目35番17号,荒川・四ツ木橋緑地,八広地域プラザ
八広あずま町会,八広地域プラザ,墨田区八広四丁目35番17号,荒川・四ツ木橋緑地,吾嬬第二中学校
都営八広五丁目自治会,八広公園,墨田区八広五丁目10番14号,荒川・四ツ木橋緑地,八広小学校
八広西八町会,八広地域プラザ,墨田区八広四丁目35番17号,荒川・四ツ木橋緑地,八広地域プラザ
八広西八町会,八広地域プラザ,墨田区八広四丁目35番17号,荒川・四ツ木橋緑地,吾嬬第二中学校
八広六西町会,八広小学校,墨田区八広五丁目12番15号,荒川・四ツ木橋緑地,八広小学校
八広六丁目東町会,日枝神社境内,墨田区八広六丁目32番6号,荒川・四ツ木橋緑地,八広小学校
立花一丁目町会,立花公園,墨田区立花一丁目27番5号,立花一丁目団地一帯,立花吾嬬の森小学校
立花平成町会,立花吾嬬の森小学校,墨田区立花一丁目18番6号,立花一丁目団地一帯,立花吾嬬の森小学校
立花一丁目団地自治会,立花団地内広場,墨田区立花一丁目26番,立花一丁目団地一帯,立花幼稚園他
立花一丁目団地6号棟自治会,立花団地内広場,墨田区立花一丁目26番,立花一丁目団地一帯,立花吾嬬の森小学校
立花二丁目町会,立花吾嬬の森小学校,墨田区立花一丁目18番6号,立花一丁目団地一帯,立花吾嬬の森小学校
立花二丁目仲町会,東あずま公園,墨田区立花二丁目32番12号,立花一丁目団地一帯,立花吾嬬の森小学校
立花東町会,東あずま公園,墨田区立花二丁目32番12号,立花一丁目団地一帯,立花吾嬬の森小学校
立花南町会,立花幼稚園他,墨田区立花一丁目25番27号,立花一丁目団地一帯,立花幼稚園他
立花あづま町会,東吾嬬小学校,墨田区立花四丁目22番11号,立花一丁目団地一帯,東吾嬬小学校
立花四丁目町会,東吾嬬小学校,墨田区立花四丁目22番11号,立花一丁目団地一帯,東吾嬬小学校
立花五丁目町会,中川小学校,墨田区立花五丁目49番4号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校)
立花五丁目町会,吾嬬立花中学校,墨田区立花五丁目48番2号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
立花五丁目東町会,吾嬬立花中学校,墨田区立花五丁目48番2号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
立花六丁目町会,立花いこい公園,墨田区立花六丁目8番34号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
立花六丁目町会,旧中川水辺公園防災広場,墨田区立花六丁目24番先,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
立花六丁目町会,平井橋第二公園,墨田区立花六丁目8番44号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
都営立花六丁目アパート自治会,平井橋第一・第二公園,墨田区立花六丁目8番55号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
都営立花六丁目アパート自治会,旧中川水辺公園防災広場,墨田区立花六丁目24番先,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
東墨田一・二丁目町会,木下川吾亦紅,墨田区東墨田二丁目15番2号,荒川・四ツ木橋緑地,木下川吾亦紅
東墨田三丁目町会,東公園,墨田区東墨田三丁目12番19号,荒川・四ツ木橋緑地,木下川吾亦紅
亀戸ビューフォート自治会,マンション1階駐車場,墨田区文花一丁目32番2号,都営文花一丁目住宅一帯,文花中学校
Brilliaタワー東京自治会,錦糸公園,墨田区錦糸四丁目15番1号,錦糸公園,錦糸小学校
イーストコア曳舟自治会,イーストコア曳舟建物内,墨田区京島一丁目1番,都営文花一丁目住宅一帯,曳舟小学校
都営第二寺島アパート自治会（休会中）,堤通公園,墨田区堤通一丁目8番1号,白鬚東地区,第一寺島小学校
トミンハイム横川一丁目自治会,日本たばこ産業株式会社内,墨田区横川一丁目17番7号,錦糸公園,業平小学校
ソライエ・プレミアムテラス自治会,ソライエ・プレミアムテラス内,墨田区立花五丁目50番28号,荒川・四ツ木橋緑地,吾嬬立花中学校（中川小学校）
