年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriumsgymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
平成27,2015,総数,Total,,7150086,7051188,…,…,…,98898
平成28,2016,総数,Total,,7169574,7067001,…,…,…,102573
平成29,2017,総数,Total,,7243627,7124716,…,…,…,118911
平成30,2018,総数,Total,,7247877,7141454,…,…,…,106423
令和元,2019,総数,Total,,7228710,7129871,…,…,…,98839
令和元,2019,幼稚園,Kindergartens,,870949,857728,823552,34176,-,13221
令和元,2019,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,37694,33044,32198,846,-,4650
令和元,2019,小学校,Elementary schools,,368793,368551,313431,55120,-,242
令和元,2019,中学校,Junior high schools,,828983,824401,691618,117596,15187,4582
令和元,2019,義務教育学校,Compulsory education schools ,,-,-,-,-,-,-
令和元,2019,高等学校,Senior high schools,,3153908,3146431,2445264,642012,59155,7477
令和元,2019,特別支援学校,Special needs schools,,13103,9267,7486,782,999,3836
令和元,2019,専修学校,Specialized training schools,,1601421,1546627,1407524,21298,117805,54794
令和元,2019,各種学校,Miscellaneous schools,,331955,321918,…,…,…,10037
令和元,2019,高等専門学校,Colleges of technology,※,21904,21904,…,…,…,-
,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (平成27～令和元年度) b 私立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2015-2019 ) b PRIVATE,,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,,
資料：都総務局統計部人口統計課 「学校基本統計（学校基本調査報告書）」，※サレジオ工業高等専門学校 Source: Bureau of General Affairs， TMG， ※Salesian Polytechnic　,,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,,
