年度,End of fiscal year,総数 Total,絵画 Paintings 1),書跡 Calligraphy,彫刻 Sculptures,工芸 Crafts,映画フィルム Movie films,その他 Others 2)
平成29,2017,97402,9250,21,462,3701,80387,3581
平成30,2018,17201,9302,21,466,3760,-,3652
令和元,2019,17417,9319,21,468,3842,-,3767
,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,
17-11  国立博物館及び美術館 (3) 東京国立近代美術館 a 備付品数 (平成29～令和元年度末) 17-11  NATIONAL MUSEUM (3) THE NATIONAL MUSEUM OF MODERN ART， TOKYO a NUMBER OF WORKS ( End of Fiscal Years 2017-2019 ),,,,,,,,
平成30年4月1日より，東京国立近代美術館からフィルムセンターが独立し，国立映画アーカイブとなった。,,,,,,,,
From April 1， 2018， the National Film Center was split off from the National Museum of Modern Art， Tokyo， to become the National Film Archive of Japan.,,,,,,,,
注 1) 絵画には版画を含む。　,,,,,,,,
2) その他には資料・写真を含む。 ,,,,,,,,
Note: 1) “Paintings” include prints.,,,,,,,,
2) “Others” include documents and photographs.,,,,,,,,
資料：東京国立近代美術館 Source: The National Museum of Modern Art， Tokyo　,,,,,,,,
