地域階層,地域コード,項番 Item number,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and Programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and Programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and Programs／分野別事業数 Programs by category／行事・大会 Events/Meets,学級・事業数 Classes and Programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and Programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and Programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study/promotion,学級・事業数 Classes and Programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,,総数,Tokyo-to,833,9345,5571,257,356,1601,123,585,2649,193,637,308,79,69,48,1130,823,28,459
1,13100,,区部,All ku,426,4336,2726,91,215,1186,73,195,966,97,260,147,38,44,23,295,347,23,336
2,13101,1,千代田区,Chiyoda-ku,10,55,34,-,-,5,-,4,25,-,11,7,2,-,-,-,-,-,1
2,13102,2,中央区,Chuo-ku,9,177,160,12,-,68,-,-,80,3,5,1,1,2,-,2,2,-,1
2,13103,3,港区,Minato-ku,11,55,24,-,-,18,3,-,3,-,19,4,-,-,3,3,-,-,2
2,13104,4,新宿区,Shinjuku-ku,24,98,86,-,-,86,-,-,-,2,1,6,1,-,-,-,-,-,2
2,13105,5,文京区,Bunkyo-ku,19,231,136,1,-,2,-,12,121,-,35,3,1,6,13,5,24,-,8
2,13106,6,台東区,Taito-ku,21,199,149,9,4,66,-,9,61,6,6,4,1,3,-,26,-,1,3
2,13107,7,墨田区,Sumida-ku,9,28,3,-,-,3,-,-,-,2,6,5,1,-,-,-,8,-,3
2,13108,8,江東区,Koto-ku,16,101,40,-,13,1,8,3,15,8,3,11,1,-,-,3,-,3,32
2,13109,9,品川区,Shinagawa-ku,18,625,595,60,7,493,-,11,24,3,1,5,3,3,-,3,7,1,4
2,13110,10,目黒区,Meguro-ku,19,60,28,-,1,5,2,8,12,5,6,1,1,1,-,-,7,1,10
2,13111,11,大田区,Ota-ku,20,158,89,-,10,42,1,-,36,7,15,4,2,18,-,2,14,3,4
2,13112,12,世田谷区,Setagaya-ku,26,299,192,4,2,98,4,30,54,16,67,10,3,-,-,3,3,1,4
2,13113,13,渋谷区,Shibuya-ku,22,82,28,-,-,-,-,14,14,7,1,6,2,-,-,5,32,-,1
2,13114,14,中野区,Nakano-ku,12,193,4,3,1,-,-,-,-,2,1,2,1,-,-,151,-,-,32
2,13115,15,杉並区,Suginami-ku,21,172,93,-,-,33,3,12,45,-,32,1,1,-,-,9,31,-,5
2,13116,16,豊島区,Toshima-ku,17,381,334,-,60,24,29,8,213,4,1,23,1,-,2,8,4,-,4
2,13117,17,北区,Kita-ku,19,140,76,1,1,5,5,20,44,4,3,24,5,7,-,13,7,-,1
2,13118,18,荒川区,Arakawa-ku,13,308,51,-,1,10,-,5,35,3,4,3,1,1,4,11,21,1,208
2,13119,19,板橋区,Itabashi-ku,24,336,237,-,7,85,10,24,111,1,14,10,1,1,1,12,52,2,5
2,13120,20,練馬区,Nerima-ku,24,198,73,1,47,3,1,17,4,3,8,2,4,2,-,17,80,9,-
2,13121,21,足立区,Adachi-ku,34,269,227,-,45,138,7,2,35,13,11,-,-,-,-,5,10,-,3
2,13122,22,葛飾区,Katsushika-ku,24,124,50,-,-,-,-,16,34,1,10,3,4,-,-,11,45,-,-
2,13123,23,江戸川区,Edogawa-ku,14,47,17,-,16,1,-,-,-,7,-,12,1,-,-,6,-,1,3
1,13200,,市部,All shi,358,4825,2779,161,121,415,50,381,1651,85,327,146,41,25,25,828,450,5,114
2,13201,1,八王子市,Hachioji-shi,15,833,675,29,20,184,-,26,416,4,7,5,-,-,-,18,123,-,1
2,13202,2,立川市,Tachikawa-shi,29,250,167,9,22,24,-,16,96,11,32,2,1,4,-,18,6,4,5
2,13203,3,武蔵野市,Musashino-shi,5,151,71,1,-,4,-,15,51,-,31,7,1,-,1,34,-,-,6
2,13204,4,三鷹市,Mitaka-shi,9,121,65,2,-,-,1,9,53,2,11,8,-,-,-,26,-,-,9
2,13205,5,青梅市,Ome-shi,15,261,90,-,-,5,-,33,52,1,2,3,-,-,2,140,17,-,6
2,13206,6,府中市,Fuchu-shi,31,98,32,-,28,-,-,4,-,1,1,15,-,1,-,17,26,-,5
2,13207,7,昭島市,Akishima-shi,19,90,33,1,-,6,-,11,15,16,22,4,1,-,1,12,-,-,1
2,13208,8,調布市,Chofu-shi,21,395,261,19,-,21,-,27,194,3,9,6,3,-,-,50,61,-,2
2,13209,9,町田市,Machida-shi,20,279,174,7,10,13,8,67,69,2,16,20,3,-,-,53,5,-,6
2,13210,10,小金井市,Koganei-shi,12,218,147,5,-,28,19,15,80,1,11,3,1,-,1,44,3,-,7
2,13211,11,小平市,Kodaira-shi,24,253,163,16,2,15,-,34,96,2,25,2,1,3,-,51,2,1,3
2,13212,12,日野市,Hino-shi,14,198,126,9,-,31,1,18,67,3,8,6,3,-,-,13,35,-,4
