年度,Fiscal year,貸切使用回数Group use (number of times)／大武道場 Large dojo,貸切使用回数Group use (number of times)／第一武道場 First dojo,貸切使用回数Group use (number of times)／第二武道場 Second dojo,貸切使用回数Group use (number of times)／弓道場 Japanese archery range,一般公開利用者数 Number of individual users／第一武道場 First Dojo,一般公開利用者数 Number of individual users／第二武道場 Second Dojo ,一般公開利用者数 Number of individual users／弓道場 Japanese Archery Range ,一般公開利用者数 Number of individual users／／トレーニングルーム Training Room,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／回数 Times held,ｽﾎﾟｰﾂ教室等 Sports programs， etc.／人数 Participants
平成29,2017,2544,1098,1353,916,1875,631,4044,69330,266,19728
平成30,2018,2802,1293,1459,966,2051,863,4693,77749,269,18750
令和元,2019,2634,1196,1331,924,1694,1414,4654,76150,248,16361
,,,,,,,,,,,
東京都統計年鑑（平成31年･令和元年）TOKYO STATISTICAL YEARBOOK ( 2019 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,,,
17-17  東京都立体育施設の利用状況 (3) 東京武道館 (平成29～令和元年度) 17-17  USE OF TOKYO METROPOLITAN SPORTS FACILITIES (3) TOKYO BUDO-KAN ( Fiscal Years 2017-2019 ),,,,,,,,,,,
注) 新型コロナウイルス感染症の感染拡大防止のため，令和2年3月下旬から休館した。,,,,,,,,,,,
Note: The whole facility was closed from late March 2020 to prevent the spread of COVID-19.,,,,,,,,,,,
資料：都オリンピック・パラリンピック準備局スポーツ推進部調整課 Source: Bureau of Olympic and Paralympic Games Tokyo 2020 Preparation， TMG,,,,,,,,,,,
