地域階層,地域コード,項番 Item number,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,,総数,Tokyo-to,,11982,80091175,82,20303447,8203,37447643,2,1761000,6,4130054,39,8726471,3395,3190623,12,3549726,243,982212
1,13100,,区部,All ku,,6165,42106854,48,10150802,4297,18011309,1,67000,-,-,39,8726471,1624,1235618,11,3540627,145,375028
2,13101,1,千代田区,Chiyoda-ku,,51,1709389,1,161637,22,104569,-,-,-,-,-,-,23,6315,5,1436868,-,-
2,13102,2,中央区,Chuo-ku,,94,626537,1,250216,57,336528,-,-,-,-,1,24513,33,11856,-,-,2,3424
2,13103,3,港区,Minato-ku,,118,1407455,4,235658,47,267721,-,-,-,-,3,541119,58,94155,1,263716,5,5086
2,13104,4,新宿区,Shinjuku-ku,,183,1147113,1,186472,177,360802,-,-,-,-,-,-,1,3983,2,593011,2,2844
2,13105,5,文京区,Bunkyo-ku,,115,553078,2,158657,45,203327,-,-,-,-,-,-,67,29506,1,161588,-,-
2,13106,6,台東区,Taito-ku,,75,773677,2,556742,50,193301,-,-,-,-,-,-,23,23633,-,-,-,-
2,13107,7,墨田区,Sumida-ku,,146,781995,3,133593,141,639642,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,8,江東区,Koto-ku,,316,5174824,6,1139837,171,1157793,1,67000,-,-,19,2691754,94,33995,-,-,25,84445
